_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-20.5133429956,GO:0016773,M1,1,0,GO Molecular Functions,21,"phosphotransferase activity, alcohol group as acceptor",-20.5133429956,1.94868515604,10.3931181997,23250,789,2979,197,6.61295736824,0.455308670893,27|91|94|132|156|207|595|658|701|817|818|890|899|983|984|1021|1111|1119|1120|1196|1439|1453|1454|1455|1456|1612|1760|1839|1944|1948|1956|2011|2041|2048|2050|2051|2064|2065|2068|2081|2185|2263|2475|2549|2585|2710|2872|3098|3480|3656|3667|3705|3706|3984|3985|4233|4294|4486|4752|4881|5058|5062|5129|5154|5155|5164|5165|5170|5208|5214|5261|5287|5291|5296|5305|5315|5347|5578|5580|5583|5584|5585|5588|5590|5591|5597|5600|5603|5605|5613|5747|5753|5754|6197|6300|6714|6732|6794|6850|7006|7016|7272|7465|7786|8395|8408|8476|8525|8558|8566|8767|8780|8822|8844|8851|8877|9024|9088|9133|9134|9149|9175|9212|9344|9475|9748|9833|9942|9943|10221|10295|10494|10733|10922|10978|11011|11284|11329|22848|22858|22983|23043|23235|23396|23415|23416|23604|23678|23729|25865|25989|27347|28996|30811|50488|51135|51347|51422|51447|51701|51755|51765|53834|54757|55229|55561|55589|57118|57551|65220|65266|79707|79934|80201|80347|81788|83707|83732|84254|84446|91461|114783|124923|131096|149420|160851|203054|225689|256356|283209|283455|284086|340371|388228|415116|440275|728642,ABL2|ACVR1B|ACVRL1|ADK|GRK2|AKT1|CCND1|BMPR1B|BUB1B|CAMK2D|CAMK2G|CCNA2|CCNF|CDK1|CDK11B|CDK6|CHEK1|CHKA|CHKB|CLK2|CSF2RB|CSNK1D|CSNK1E|CSNK1G2|CSNK1G3|DAPK1|DMPK|HBEGF|EFNA3|EFNB2|EGFR|MARK2|EPHA1|EPHB2|EPHB4|EPHB6|ERBB2|ERBB3|ERCC2|ERN1|PTK2B|FGFR2|MTOR|GAB1|GALK2|GK|MKNK2|HK1|IGF1R|IRAK2|IRS1|ITPK1|ITPKA|LIMK1|LIMK2|MET|MAP3K10|MST1R|NEK3|NPR1|PAK1|PAK2|CDK18|PDGFA|PDGFB|PDK2|PDK3|PDPK1|PFKFB2|PFKP|PHKG2|PIK3C2B|PIK3CB|PIK3R2|PIP4K2A|PKM|PLK1|PRKCA|PRKCD|PRKCH|PRKCI|PKN1|PRKCQ|PRKCZ|PRKDC|MAPK6|MAPK11|MAPK13|MAP2K2|PRKX|PTK2|PTK6|PTK7|RPS6KA3|MAPK12|SRC|SRPK1|STK11|SYK|TEC|TESK1|TTK|WEE1|MAP3K12|PIP5K1B|ULK1|CDC42BPA|DGKZ|CDK10|PDXK|RIPK2|RIOK3|FGF17|KSR1|CDK5R1|SPHK1|BRSK2|PKMYT1|CCNB2|CCNE2|DYRK1B|MAP3K13|AURKB|TAOK2|ROCK2|SLK|MELK|XYLB|OXSR1|TRIB1|BCKDK|STK25|PLK4|FASTK|CLP1|TLK2|PNKP|STK38|AAK1|ICK|MAST1|TNIK|SIK2|PIP5K1C|KCNH4|KCNH3|DAPK2|SGK3|SHPK|PRKD2|ULK3|STK39|HIPK2|HUNK|MINK1|IRAK4|TAOK3|PRKAG2|IP6K2|NLK|CDK12|STK26|FGFRL1|FAM20A|PANK4|CDC42BPG|BMP2K|CAMK1D|TAOK1|NADK|WNK4|NOL9|COQ8B|HKDC1|COASY|NUAK2|TRPT1|RIOK1|CAMKK1|BRSK1|PKDCC|LMTK3|SGK494|KCNH8|PDIK1L|DGKH|ADCK5|MAPK15|GK5|PGM2L1|KSR2|NEK8|NRBP2|SBK1|PIM3|EIF2AK4|CDK11A,-16.0756241342,0,1,1,1,-20.5133429956,2.22028336285,
1,-17.1407935945,GO:0004674,M1,1,0,GO Molecular Functions,21,protein serine/threonine kinase activity,-17.1407935945,2.11276918226,9.5933231218,23250,495,2979,134,4.49815374287,0.379741253577,91|94|156|207|595|658|701|817|818|983|984|1021|1111|1196|1453|1454|1455|1456|1612|1760|1956|2011|2041|2048|2050|2051|2064|2065|2068|2081|2185|2263|2475|2872|3480|3656|3706|3984|3985|4233|4294|4486|4752|5058|5062|5129|5165|5170|5261|5347|5578|5580|5583|5584|5585|5588|5590|5591|5597|5600|5603|5605|5613|6197|6300|6732|6794|6850|7272|7786|8408|8476|8558|8767|8780|9024|9088|9133|9134|9149|9175|9212|9344|9475|9748|9833|9943|10295|10494|10733|10922|11011|11329|22848|22858|22983|23043|23235|23604|23678|25865|25989|27347|28996|30811|50488|51135|51347|51422|51701|51755|51765|54757|55561|55589|57118|57551|65266|81788|83732|84254|84446|114783|124923|149420|203054|225689|283455|284086|340371|388228|415116|440275|728642,ACVR1B|ACVRL1|GRK2|AKT1|CCND1|BMPR1B|BUB1B|CAMK2D|CAMK2G|CDK1|CDK11B|CDK6|CHEK1|CLK2|CSNK1D|CSNK1E|CSNK1G2|CSNK1G3|DAPK1|DMPK|EGFR|MARK2|EPHA1|EPHB2|EPHB4|EPHB6|ERBB2|ERBB3|ERCC2|ERN1|PTK2B|FGFR2|MTOR|MKNK2|IGF1R|IRAK2|ITPKA|LIMK1|LIMK2|MET|MAP3K10|MST1R|NEK3|PAK1|PAK2|CDK18|PDK3|PDPK1|PHKG2|PLK1|PRKCA|PRKCD|PRKCH|PRKCI|PKN1|PRKCQ|PRKCZ|PRKDC|MAPK6|MAPK11|MAPK13|MAP2K2|PRKX|RPS6KA3|MAPK12|SRPK1|STK11|SYK|TTK|MAP3K12|ULK1|CDC42BPA|CDK10|RIPK2|RIOK3|BRSK2|PKMYT1|CCNB2|CCNE2|DYRK1B|MAP3K13|AURKB|TAOK2|ROCK2|SLK|MELK|OXSR1|BCKDK|STK25|PLK4|FASTK|TLK2|STK38|AAK1|ICK|MAST1|TNIK|SIK2|DAPK2|SGK3|PRKD2|ULK3|STK39|HIPK2|HUNK|MINK1|IRAK4|TAOK3|PRKAG2|NLK|CDK12|STK26|FAM20A|CDC42BPG|BMP2K|CAMK1D|TAOK1|WNK4|NUAK2|RIOK1|CAMKK1|BRSK1|LMTK3|SGK494|PDIK1L|ADCK5|MAPK15|KSR2|NEK8|NRBP2|SBK1|PIM3|EIF2AK4|CDK11A,-13.3051347245,0,1,0,0,-20.5133429956,2.22028336285,
1,-15.7218548872,GO:0004672,M1,1,0,GO Molecular Functions,21,protein kinase activity,-15.7218548872,1.90356888463,8.99945952606,23250,656,2979,160,5.37092984223,0.413049189624,27|91|94|156|207|595|658|701|817|818|890|899|983|984|1021|1111|1196|1439|1453|1454|1455|1456|1612|1760|1839|1944|1948|1956|2011|2041|2048|2050|2051|2064|2065|2068|2081|2185|2263|2475|2872|3480|3656|3706|3984|3985|4233|4294|4486|4752|4881|5058|5062|5129|5164|5165|5170|5261|5347|5578|5580|5583|5584|5585|5588|5590|5591|5597|5600|5603|5605|5613|5747|5753|5754|6197|6300|6714|6732|6794|6850|7006|7016|7272|7465|7786|8408|8476|8558|8767|8780|8822|8844|8851|9024|9088|9133|9134|9149|9175|9212|9344|9475|9748|9833|9943|10221|10295|10494|10733|10922|11011|11329|22848|22858|22983|23043|23235|23415|23416|23604|23678|25865|25989|27347|28996|30811|50488|51135|51347|51422|51701|51755|51765|53834|54757|55561|55589|57118|57551|65266|79934|81788|83732|84254|84446|91461|114783|124923|131096|149420|203054|225689|283455|284086|340371|388228|415116|440275|728642,ABL2|ACVR1B|ACVRL1|GRK2|AKT1|CCND1|BMPR1B|BUB1B|CAMK2D|CAMK2G|CCNA2|CCNF|CDK1|CDK11B|CDK6|CHEK1|CLK2|CSF2RB|CSNK1D|CSNK1E|CSNK1G2|CSNK1G3|DAPK1|DMPK|HBEGF|EFNA3|EFNB2|EGFR|MARK2|EPHA1|EPHB2|EPHB4|EPHB6|ERBB2|ERBB3|ERCC2|ERN1|PTK2B|FGFR2|MTOR|MKNK2|IGF1R|IRAK2|ITPKA|LIMK1|LIMK2|MET|MAP3K10|MST1R|NEK3|NPR1|PAK1|PAK2|CDK18|PDK2|PDK3|PDPK1|PHKG2|PLK1|PRKCA|PRKCD|PRKCH|PRKCI|PKN1|PRKCQ|PRKCZ|PRKDC|MAPK6|MAPK11|MAPK13|MAP2K2|PRKX|PTK2|PTK6|PTK7|RPS6KA3|MAPK12|SRC|SRPK1|STK11|SYK|TEC|TESK1|TTK|WEE1|MAP3K12|ULK1|CDC42BPA|CDK10|RIPK2|RIOK3|FGF17|KSR1|CDK5R1|BRSK2|PKMYT1|CCNB2|CCNE2|DYRK1B|MAP3K13|AURKB|TAOK2|ROCK2|SLK|MELK|OXSR1|TRIB1|BCKDK|STK25|PLK4|FASTK|TLK2|STK38|AAK1|ICK|MAST1|TNIK|SIK2|KCNH4|KCNH3|DAPK2|SGK3|PRKD2|ULK3|STK39|HIPK2|HUNK|MINK1|IRAK4|TAOK3|PRKAG2|NLK|CDK12|STK26|FGFRL1|FAM20A|CDC42BPG|BMP2K|CAMK1D|TAOK1|WNK4|COQ8B|NUAK2|RIOK1|CAMKK1|BRSK1|PKDCC|LMTK3|SGK494|KCNH8|PDIK1L|ADCK5|MAPK15|KSR2|NEK8|NRBP2|SBK1|PIM3|EIF2AK4|CDK11A,-12.0622872763,0,1,0,0,-20.5133429956,2.22028336285,
1,-9.76824273396,GO:0046777,M1,1,0,GO Biological Processes,19,protein autophosphorylation,-9.76824273396,2.22028336285,7.16095085702,23250,232,2979,66,2.21550855992,0.269672372065,27|91|207|817|818|1196|1455|1612|1956|2011|2041|2050|2064|2081|2185|2263|2475|2872|3480|4294|4361|5058|5062|5154|5155|5170|5605|5613|5747|5753|5912|6714|6794|6850|7006|7016|7272|7422|7786|8408|9175|9212|9344|9748|9833|9961|10494|22848|23043|23235|23604|25865|25989|27347|50488|51347|51701|51755|51765|55364|57551|84451|92597|225689|415116|440275,ABL2|ACVR1B|AKT1|CAMK2D|CAMK2G|CLK2|CSNK1G2|DAPK1|EGFR|MARK2|EPHA1|EPHB4|ERBB2|ERN1|PTK2B|FGFR2|MTOR|MKNK2|IGF1R|MAP3K10|MRE11|PAK1|PAK2|PDGFA|PDGFB|PDPK1|MAP2K2|PRKX|PTK2|PTK6|RAP2B|SRC|STK11|SYK|TEC|TESK1|TTK|VEGFA|MAP3K12|ULK1|MAP3K13|AURKB|TAOK2|SLK|MELK|MVP|STK25|AAK1|TNIK|SIK2|DAPK2|PRKD2|ULK3|STK39|MINK1|TAOK3|NLK|CDK12|STK26|IMPACT|TAOK1|MAP3K21|MOB1B|MAPK15|PIM3|EIF2AK4,-6.93258386395,0,1,0,0,-20.5133429956,2.22028336285,
1,-19.1144906211,GO:0051301,M1,1,0,GO Biological Processes,19,cell division,-19.1144906211,2.07768371776,10.1291185044,23250,586,2979,156,5.23665659617,0.408142653266,388|595|643|675|701|890|899|983|990|991|994|995|1021|1062|1104|1877|2029|2035|2068|2119|2263|2770|2801|2810|3070|3619|3832|3978|3993|4752|4926|5119|5154|5155|5291|5347|5885|5898|5932|6242|6711|7005|7039|7153|7329|7422|7465|7564|8239|8243|8379|8650|8678|8881|9024|9025|9055|9133|9134|9150|9181|9212|9232|9400|9525|9564|9585|9700|9727|9798|9918|9928|9937|10051|10300|10388|10403|10519|10592|10615|10617|10636|10801|10982|11004|11065|11078|11339|22924|22974|23141|23176|23310|23397|23421|23594|23607|23636|24137|26354|27152|29882|50511|50624|51100|51176|51203|51343|51490|51529|54627|55142|55143|55165|55909|56241|56907|57082|63971|64151|64321|64762|79884|80152|80346|81606|81928|81929|83461|83540|84501|84612|84936|89958|91782|113130|115106|116840|126353|144455|146909|147841|151246|151648|157313|201161|205564|219736|220134|221035|256126|257364|259266|346389|346673|378708,RHOB|CCND1|CXCR5|BRCA2|BUB1B|CCNA2|CCNF|CDK1|CDC6|CDC20|CDC25B|CDC25C|CDK6|CENPE|RCC1|E4F1|ENSA|EPB41|ERCC2|ETV5|FGFR2|GNAI1|GOLGA2|SFN|HELLS|INCENP|KIF11|LIG1|LLGL2|NEK3|NUMA1|CHMP1A|PDGFA|PDGFB|PIK3CB|PLK1|RAD21|RALA|RBBP8|RTKN|SPTBN1|TEAD3|TGFA|TOP2A|UBE2I|VEGFA|WEE1|ZNF16|USP9X|SMC1A|MAD1L1|NUMB|BECN1|CDC16|BRSK2|RNF8|PRC1|CCNB2|CCNE2|CTDP1|ARHGEF2|AURKB|PTTG1|RECQL5|VPS4B|BCAR1|KIF20B|ESPL1|RAB11FIP3|IST1|NCAPD2|KIF14|DCLRE1A|SMC4|KATNB1|SYCP2|NDC80|CIB1|SMC2|SPAG5|STAMBP|RGS14|SEPT9|MAPRE2|KIF2C|UBE2C|TRIOBP|OIP5|MAPRE3|TPX2|ANKLE2|SEPT8|NCAPD3|NCAPH|ITGB3BP|ORC6|CD2AP|NUP62|KIF4A|GNL3|INTU|ANAPC2|SYCP3|CUZD1|SH3GLB1|LEF1|NUSAP1|FZR1|SPOUT1|ANAPC11|MAP10|HAUS2|CDCA8|CEP55|BIN3|SUSD2|SPIRE1|KNL1|KIF13A|NCAPG|SOX17|GAREM1|MAP9|CENPT|REEP4|LBH|CABLES2|SEH1L|CDCA3|NUF2|SPIRE2|PARD6B|ZFYVE19|SAPCD2|CHMP7|CDCA5|HAUS1|CNTROB|MISP|E2F7|KIF18B|SPC24|SGO2|SGO1|CDCA2|CENPV|SENP5|STOX1|SKA1|REEP3|SYCE2|SNX33|ASPM|MACC1|STRA8|CENPS,-14.9778017554,0,2,1,1,-19.1144906211,2.50863185153,
1,-14.0013618892,GO:0007059,M1,1,0,GO Biological Processes,19,chromosome segregation,-14.0013618892,2.27223475722,8.72912468693,23250,316,2979,92,3.08828465928,0.316965176413,672|675|701|990|991|1062|1104|1325|1663|2068|2177|3619|3835|4288|4361|4926|5119|5347|5885|6732|7153|7272|7283|7329|8239|8243|8379|8678|8780|9055|9134|9212|9232|9400|9525|9700|9918|9928|9985|10051|10388|10403|10592|10609|10615|10636|11004|11011|11065|11339|23310|23397|23636|24137|27175|28989|51203|51529|54627|55143|55165|55166|55294|55839|56271|57082|64151|64793|79677|79903|80152|81929|83540|84464|91782|113130|116028|146909|146956|151246|151648|192670|197342|220134|225689|256126|283129|283489|284071|284086|378708|100130958,BRCA1|BRCA2|BUB1B|CDC6|CDC20|CENPE|RCC1|CORT|DDX11|ERCC2|FANCD2|INCENP|KIF22|MKI67|MRE11|NUMA1|CHMP1A|PLK1|RAD21|SRPK1|TOP2A|TTK|TUBG1|UBE2I|USP9X|SMC1A|MAD1L1|BECN1|RIOK3|PRC1|CCNE2|AURKB|PTTG1|RECQL5|VPS4B|ESPL1|NCAPD2|KIF14|REC8|SMC4|SYCP2|NDC80|SMC2|P3H4|SPAG5|RGS14|KIF2C|TLK2|UBE2C|OIP5|NCAPD3|NCAPH|NUP62|KIF4A|TUBG2|NTMT1|NUSAP1|ANAPC11|MAP10|CDCA8|CEP55|CENPQ|FBXW7|CENPN|BEX4|KNL1|NCAPG|CEP85|SMC6|NAA60|CENPT|SEH1L|NUF2|SLX4|CHMP7|CDCA5|RMI2|KIF18B|EME1|SGO2|SGO1|AGO4|EME2|SKA1|MAPK15|SYCE2|MAJIN|CHAMP1|MEIOC|NEK8|CENPS|SYCE1L,-10.6428242739,0,2,0,0,-19.1144906211,2.50863185153,
1,-13.9309063953,GO:0000280,M1,1,0,GO Biological Processes,19,nuclear division,-13.9309063953,2.08123531386,8.57218854154,23250,420,2979,112,3.75965088956,0.348511491729,331|595|675|701|890|899|990|991|994|995|1062|1104|1111|1325|2175|2177|2801|3832|3835|3976|4041|4288|4361|4436|4926|5119|5155|5347|5885|5888|5892|7039|7153|7272|7283|8243|8379|8678|8881|9055|9088|9133|9134|9150|9212|9232|9400|9525|9585|9700|9918|9928|9985|10051|10361|10388|10403|10592|10609|10615|10844|11004|11065|22974|23310|23363|23397|23636|24137|27175|27229|28984|29893|49856|50511|51203|51343|51529|51547|54627|55143|55165|56907|64151|64793|79703|79884|81929|83540|84057|84464|84501|84687|85378|91782|113130|146909|146956|151246|151648|192670|197342|225689|245711|256126|259266|283129|283489|284071|286151|378708|100130958,XIAP|CCND1|BRCA2|BUB1B|CCNA2|CCNF|CDC6|CDC20|CDC25B|CDC25C|CENPE|RCC1|CHEK1|CORT|FANCA|FANCD2|GOLGA2|KIF11|KIF22|LIF|LRP5|MKI67|MRE11|MSH2|NUMA1|CHMP1A|PDGFB|PLK1|RAD21|RAD51|RAD51D|TGFA|TOP2A|TTK|TUBG1|SMC1A|MAD1L1|BECN1|CDC16|PRC1|PKMYT1|CCNB2|CCNE2|CTDP1|AURKB|PTTG1|RECQL5|VPS4B|KIF20B|ESPL1|NCAPD2|KIF14|REC8|SMC4|NPM2|SYCP2|NDC80|SMC2|P3H4|SPAG5|TUBGCP2|KIF2C|UBE2C|TPX2|NCAPD3|OBSL1|NCAPH|NUP62|KIF4A|TUBG2|TUBGCP4|RGCC|PSMC3IP|WRAP73|SYCP3|NUSAP1|FZR1|ANAPC11|SIRT7|MAP10|CDCA8|CEP55|SPIRE1|NCAPG|CEP85|C11orf80|MAP9|SEH1L|NUF2|MND1|SLX4|SPIRE2|PPP1R9B|TUBGCP6|CHMP7|CDCA5|KIF18B|EME1|SGO2|SGO1|AGO4|EME2|MAPK15|SPDYA|SYCE2|ASPM|MAJIN|CHAMP1|MEIOC|FBXO43|CENPS|SYCE1L,-10.6071308863,0,2,0,0,-19.1144906211,2.50863185153,
1,-12.9948538959,GO:0048285,M1,1,0,GO Biological Processes,19,organelle fission,-12.9948538959,1.98053037932,8.18771688632,23250,465,2979,118,3.96106075864,0.35735032197,331|595|664|675|701|890|899|990|991|994|995|1062|1104|1111|1325|1759|1785|2175|2177|2801|3832|3835|3976|4041|4288|4361|4436|4926|5119|5155|5347|5885|5888|5892|7039|7153|7272|7283|8243|8379|8678|8800|8881|9055|9088|9133|9134|9150|9212|9232|9400|9525|9585|9700|9918|9928|9985|10051|10361|10388|10403|10592|10609|10615|10844|11004|11065|22974|23310|23363|23397|23636|24137|27175|27229|28984|29893|49856|50511|51203|51343|51529|51547|54627|55143|55165|56907|64151|64423|64793|79703|79884|81929|83540|84057|84464|84501|84687|85378|91782|113115|113130|146909|146956|151246|151648|192670|197342|225689|245711|256126|259266|283129|283489|284071|286151|378708|100130958,XIAP|CCND1|BNIP3|BRCA2|BUB1B|CCNA2|CCNF|CDC6|CDC20|CDC25B|CDC25C|CENPE|RCC1|CHEK1|CORT|DNM1|DNM2|FANCA|FANCD2|GOLGA2|KIF11|KIF22|LIF|LRP5|MKI67|MRE11|MSH2|NUMA1|CHMP1A|PDGFB|PLK1|RAD21|RAD51|RAD51D|TGFA|TOP2A|TTK|TUBG1|SMC1A|MAD1L1|BECN1|PEX11A|CDC16|PRC1|PKMYT1|CCNB2|CCNE2|CTDP1|AURKB|PTTG1|RECQL5|VPS4B|KIF20B|ESPL1|NCAPD2|KIF14|REC8|SMC4|NPM2|SYCP2|NDC80|SMC2|P3H4|SPAG5|TUBGCP2|KIF2C|UBE2C|TPX2|NCAPD3|OBSL1|NCAPH|NUP62|KIF4A|TUBG2|TUBGCP4|RGCC|PSMC3IP|WRAP73|SYCP3|NUSAP1|FZR1|ANAPC11|SIRT7|MAP10|CDCA8|CEP55|SPIRE1|NCAPG|INF2|CEP85|C11orf80|MAP9|SEH1L|NUF2|MND1|SLX4|SPIRE2|PPP1R9B|TUBGCP6|CHMP7|MTFR2|CDCA5|KIF18B|EME1|SGO2|SGO1|AGO4|EME2|MAPK15|SPDYA|SYCE2|ASPM|MAJIN|CHAMP1|MEIOC|FBXO43|CENPS|SYCE1L,-9.78758395597,0,2,0,0,-19.1144906211,2.50863185153,
1,-10.7475810528,GO:0140014,M1,1,0,GO Biological Processes,19,mitotic nuclear division,-10.7475810528,2.1587281181,7.50488970041,23250,282,2979,78,2.61832829809,0.292560312298,331|595|701|890|899|990|991|995|1062|1104|1111|2801|3832|3835|4041|4288|4926|5119|5155|5347|5885|7039|7272|7283|8243|8379|8678|8881|9055|9088|9133|9134|9150|9212|9232|9400|9525|9585|9700|9918|9928|10051|10361|10403|10592|10615|10844|11004|11065|22974|23310|23363|23397|23636|24137|27175|27229|28984|49856|51203|51529|51547|54627|55143|55165|64151|64793|79884|81929|83540|84687|85378|91782|113130|146909|151648|283489|286151,XIAP|CCND1|BUB1B|CCNA2|CCNF|CDC6|CDC20|CDC25C|CENPE|RCC1|CHEK1|GOLGA2|KIF11|KIF22|LRP5|MKI67|NUMA1|CHMP1A|PDGFB|PLK1|RAD21|TGFA|TTK|TUBG1|SMC1A|MAD1L1|BECN1|CDC16|PRC1|PKMYT1|CCNB2|CCNE2|CTDP1|AURKB|PTTG1|RECQL5|VPS4B|KIF20B|ESPL1|NCAPD2|KIF14|SMC4|NPM2|NDC80|SMC2|SPAG5|TUBGCP2|KIF2C|UBE2C|TPX2|NCAPD3|OBSL1|NCAPH|NUP62|KIF4A|TUBG2|TUBGCP4|RGCC|WRAP73|NUSAP1|ANAPC11|SIRT7|MAP10|CDCA8|CEP55|NCAPG|CEP85|MAP9|SEH1L|NUF2|PPP1R9B|TUBGCP6|CHMP7|CDCA5|KIF18B|SGO1|CHAMP1|FBXO43,-7.75702022279,0,2,0,0,-19.1144906211,2.50863185153,
1,-9.82149988341,GO:0098813,M1,1,0,GO Biological Processes,19,nuclear chromosome segregation,-9.82149988341,2.15614358878,7.14463950743,23250,257,2979,71,2.38335011749,0.279460621546,675|701|990|991|1062|1325|1663|2177|3835|4361|4926|5119|5347|5885|7153|7272|7283|8243|8379|8678|9055|9134|9212|9232|9400|9525|9700|9918|9928|9985|10051|10388|10403|10592|10609|10615|11004|11065|23310|23397|23636|24137|27175|51203|51529|54627|55143|55165|55166|55294|57082|64151|81929|83540|84464|91782|113130|116028|146909|146956|151246|151648|192670|197342|225689|256126|283129|283489|284071|378708|100130958,BRCA2|BUB1B|CDC6|CDC20|CENPE|CORT|DDX11|FANCD2|KIF22|MRE11|NUMA1|CHMP1A|PLK1|RAD21|TOP2A|TTK|TUBG1|SMC1A|MAD1L1|BECN1|PRC1|CCNE2|AURKB|PTTG1|RECQL5|VPS4B|ESPL1|NCAPD2|KIF14|REC8|SMC4|SYCP2|NDC80|SMC2|P3H4|SPAG5|KIF2C|UBE2C|NCAPD3|NCAPH|NUP62|KIF4A|TUBG2|NUSAP1|ANAPC11|MAP10|CDCA8|CEP55|CENPQ|FBXW7|KNL1|NCAPG|SEH1L|NUF2|SLX4|CHMP7|CDCA5|RMI2|KIF18B|EME1|SGO2|SGO1|AGO4|EME2|MAPK15|SYCE2|MAJIN|CHAMP1|MEIOC|CENPS|SYCE1L,-6.9748456291,0,2,0,0,-19.1144906211,2.50863185153,
