_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.7652631665,GO:0001501,M1,1,0,GO Biological Processes,19,skeletal system development,-11.7652631665,3.34158415842,8.80578740639,23250,505,620,45,7.25806451613,1.04196383373,415|649|650|1101|1749|1750|2261|3091|3198|3199|3200|3201|3202|3203|3204|3206|3209|3223|3224|3225|3226|3227|3549|4088|4488|5308|5745|6422|6615|6913|7046|7476|23314|55790|55959|59338|59341|85301|85477|91461|117166|124565|145258|161882|389125,ARSE|BMP1|BMP2|CHAD|DLX5|DLX6|FGFR3|HIF1A|HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA10|HOXA13|HOXC6|HOXC8|HOXC9|HOXC10|HOXC11|IHH|SMAD3|MSX2|PITX2|PTH1R|SFRP1|SNAI1|TBX15|TGFBR1|WNT7A|SATB2|CSGALNACT1|SULF2|PLEKHA1|TRPV4|COL27A1|SCIN|PKDCC|WFIKKN1|SLC38A10|GSC|ZFPM1|MUSTN1,-7.5700534451,0,1,1,1,-11.7652631665,5.58510638298,
1,-11.5436199917,GO:0048598,M1,1,0,GO Biological Processes,19,embryonic morphogenesis,-11.5436199917,3.14136125654,8.59073175141,23250,573,620,48,7.74193548387,1.07332463849,29|775|1749|1750|2304|2624|2626|2735|3091|3172|3198|3199|3200|3201|3202|3203|3204|3206|3225|3226|3227|3549|3651|3912|4088|4488|4669|5076|5308|6422|6615|6913|7046|7448|7476|8557|9620|22943|23314|23654|28514|54361|57534|79191|90102|145258|151449|341640,ABR|CACNA1C|DLX5|DLX6|FOXE1|GATA2|GATA4|GLI1|HIF1A|HNF4A|HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA10|HOXC9|HOXC10|HOXC11|IHH|PDX1|LAMB1|SMAD3|MSX2|NAGLU|PAX2|PITX2|SFRP1|SNAI1|TBX15|TGFBR1|VTN|WNT7A|TCAP|CELSR1|DKK1|SATB2|PLXNB2|DLL1|WNT4|MIB1|IRX3|PHLDB2|GSC|GDF7|FREM2,-7.5700534451,0,1,0,0,-11.7652631665,5.58510638298,
1,-10.1660181158,GO:0007389,M1,1,0,GO Biological Processes,19,pattern specification process,-10.1660181158,3.31632653061,8.12871056582,23250,441,620,39,6.29032258065,0.975063356003,650|1045|2626|2735|3091|3199|3200|3201|3202|3203|3204|3206|3223|3224|3225|3226|3227|3549|4088|4242|4488|5046|5076|5308|5649|6422|6493|6615|7046|7476|8557|9620|22943|23314|28514|53820|57534|79191|145258,BMP2|CDX2|GATA4|GLI1|HIF1A|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA10|HOXC6|HOXC8|HOXC9|HOXC10|HOXC11|IHH|SMAD3|MFNG|MSX2|PCSK6|PAX2|PITX2|RELN|SFRP1|SIM2|SNAI1|TGFBR1|WNT7A|TCAP|CELSR1|DKK1|SATB2|DLL1|RIPPLY3|MIB1|IRX3|GSC,-6.36854282827,0,1,0,0,-11.7652631665,5.58510638298,
1,-9.90096457815,GO:0048705,M1,1,0,GO Biological Processes,19,skeletal system morphogenesis,-9.90096457815,4.40217391304,8.58269096208,23250,230,620,27,4.35483870968,0.819637263181,649|1101|1749|2261|3198|3199|3200|3201|3202|3203|3204|3224|3225|3227|3549|4088|4488|6422|6913|7046|7476|23314|55790|59338|59341|85301|145258,BMP1|CHAD|DLX5|FGFR3|HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXC8|HOXC9|HOXC11|IHH|SMAD3|MSX2|SFRP1|TBX15|TGFBR1|WNT7A|SATB2|CSGALNACT1|PLEKHA1|TRPV4|COL27A1|GSC,-6.24848090674,0,1,0,0,-11.7652631665,5.58510638298,
1,-9.82410744466,GO:0048562,M1,1,0,GO Biological Processes,19,embryonic organ morphogenesis,-9.82410744466,3.97526501767,8.33532321818,23250,283,620,30,4.83870967742,0.861785334022,29|1749|1750|2304|2624|2626|2735|3091|3198|3199|3200|3201|3202|3203|3204|3225|3227|3549|4088|4669|5076|5308|6913|7046|8557|9620|23314|28514|57534|145258,ABR|DLX5|DLX6|FOXE1|GATA2|GATA4|GLI1|HIF1A|HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXC9|HOXC11|IHH|SMAD3|NAGLU|PAX2|PITX2|TBX15|TGFBR1|TCAP|CELSR1|SATB2|DLL1|MIB1|GSC,-6.24848090674,0,1,0,0,-11.7652631665,5.58510638298,
1,-9.5948344962,GO:0003002,M1,1,0,GO Biological Processes,19,regionalization,-9.5948344962,3.59738372093,8.03334491356,23250,344,620,33,5.32258064516,0.901547236155,650|1045|2626|2735|3199|3200|3201|3202|3203|3204|3206|3223|3224|3225|3226|3227|4088|4488|5046|5076|5308|5649|6422|6615|7046|7476|8557|9620|22943|28514|57534|79191|145258,BMP2|CDX2|GATA4|GLI1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA10|HOXC6|HOXC8|HOXC9|HOXC10|HOXC11|SMAD3|MSX2|PCSK6|PAX2|PITX2|RELN|SFRP1|SNAI1|TGFBR1|WNT7A|TCAP|CELSR1|DKK1|DLL1|MIB1|IRX3|GSC,-6.09838920432,0,1,0,0,-11.7652631665,5.58510638298,
1,-9.481050633,GO:0048568,M1,1,0,GO Biological Processes,19,embryonic organ development,-9.481050633,3.26470588235,7.79931725431,23250,425,620,37,5.96774193548,0.951365953248,29|1045|1749|1750|2020|2034|2304|2624|2626|2735|3091|3198|3199|3200|3201|3202|3203|3204|3225|3227|3549|4088|4669|5076|5154|5308|6615|6913|7046|8557|9620|23314|28514|57534|91461|145258|161882,ABR|CDX2|DLX5|DLX6|EN2|EPAS1|FOXE1|GATA2|GATA4|GLI1|HIF1A|HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXC9|HOXC11|IHH|SMAD3|NAGLU|PAX2|PDGFA|PITX2|SNAI1|TBX15|TGFBR1|TCAP|CELSR1|SATB2|DLL1|MIB1|PKDCC|GSC|ZFPM1,-6.05155213076,0,1,0,0,-11.7652631665,5.58510638298,
1,-9.2121516162,GO:0009952,M1,1,0,GO Biological Processes,19,anterior/posterior pattern specification,-9.2121516162,4.4014084507,8.254510674,23250,213,620,25,4.03225806452,0.790025215352,650|1045|2626|3199|3200|3201|3202|3203|3204|3206|3223|3224|3225|3226|3227|4088|4488|5046|6422|7046|8557|9620|22943|28514|57534,BMP2|CDX2|GATA4|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXA10|HOXC6|HOXC8|HOXC9|HOXC10|HOXC11|SMAD3|MSX2|PCSK6|SFRP1|TGFBR1|TCAP|CELSR1|DKK1|DLL1|MIB1,-5.84064506094,0,1,0,0,-11.7652631665,5.58510638298,
1,-7.46450294563,GO:0048706,M1,1,0,GO Biological Processes,19,embryonic skeletal system development,-7.46450294563,5.14112903226,7.65305882054,23250,124,620,17,2.74193548387,0.655836498838,3198|3199|3200|3201|3202|3203|3204|3223|3225|3227|3549|4088|6913|7046|23314|55959|145258,HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXC6|HOXC9|HOXC11|IHH|SMAD3|TBX15|TGFBR1|SATB2|SULF2|GSC,-4.37088575862,0,1,0,0,-11.7652631665,5.58510638298,
1,-6.71113770331,GO:0048704,M1,1,0,GO Biological Processes,19,embryonic skeletal system morphogenesis,-6.71113770331,5.58510638298,7.37288193652,23250,94,620,14,2.25806451613,0.59664059027,3198|3199|3200|3201|3202|3203|3204|3225|3227|4088|6913|7046|23314|145258,HOXA1|HOXA2|HOXA3|HOXA4|HOXA5|HOXA6|HOXA7|HOXC9|HOXC11|SMAD3|TBX15|TGFBR1|SATB2|GSC,-3.77896384188,0,1,0,0,-11.7652631665,5.58510638298,
