REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_429_IP.nodup.bam	HGSerous_429_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
37_Peak_6759_lociStitched	chr2	28806672	28943059	37	93200	196670.054	18384.9676	1	PLB1	PPP1CB	PPP1CB	1	1	ENSG00000213639	PPP1CB	240.855257443272	1
22_Peak_406_lociStitched	chr9	132163361	132263387	22	65543	179246.592	10652.769	2			C9orf106	2	1	ENSG00000204054	LINC00963	118.640444822809	2
28_Peak_12_lociStitched	chr2	43383829	43504903	28	51671	172808.9202	16671.8898	3	THADA,LOC100129726,ZFP36L2		ZFP36L2	3	1	ENSG00000152518	ZFP36L2	193.662045632807	1
11_Peak_13490_lociStitched	chr8	145002055	145045940	11	29915	143631.2165	7767.645	4	PLEC,MIR661	GRINA,SPATC1,PARP10	PLEC	4	1	ENSG00000178209	PLEC	392.892195636502	1
44_Peak_1410_lociStitched	chr1	15226140	15373128	44	70727	144195.228	18932.0544	5	KAZ		KAZ	5	1	ENSG00000189337	KAZN	33.7267266423255	2
29_Peak_34788_lociStitched	chr19	39126791	39227442	29	65443	132376.1952	10709.2664	6	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	6	1	ENSG00000130402	ACTN4	381.617471962806	1
31_Peak_31569_lociStitched	chr5	172190736	172333297	31	72635	130942.2785	13472.0145	7	ERGIC1,DUSP1		ERGIC1	7	1	ENSG00000113719	ERGIC1	182.15930024593	1
16_Peak_68637_lociStitched	chr3	134027424	134112068	16	49862	126254.9904	11570.8348	8	AMOTL2		AMOTL2	8	1	ENSG00000114019	AMOTL2	49.6888434931615	1
17_Peak_20588_lociStitched	chr2	232468427	232552607	17	46298	116521.956	8485.344	9		C2orf57,PTMA,MIR1244-2	C2orf57	9	1	ENSG00000187514	PTMA	922.382099240683	3
34_Peak_28739_lociStitched	chr8	120967130	121097537	34	61244	128281.3659	22703.8587	10	DEPDC6	COL14A1	COL14A1	10	1	ENSG00000187955	COL14A1	9.98994436832624	1
24_Peak_52124_lociStitched	chr9	132309256	132376071	24	51687	109810.4525	6561.233	11	C9orf50	ASB6,METTL11A	C9orf50	11	1	ENSG00000179058	C9orf50	0.889035543360276	1
42_Peak_19476_lociStitched	chr2	11618644	11724405	42	61424	115850.5994	14013.3325	12	GREB1	E2F6	GREB1	12	1	ENSG00000196208	GREB1	28.3276504690895	1
14_Peak_74216_lociStitched	chr5	139014571	139091088	14	47961	104491.6152	7360.9354	13	CXXC5		CXXC5	13	1	ENSG00000171604	CXXC5	44.7229510821834	1
8_Peak_86294_lociStitched	chr11	65236507	65278322	8	32933	99661.871	4106.233	14	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	14	1	ENSG00000251562	MALAT1	20699.8595193961	1
41_Peak_5786_lociStitched	chr17	55937419	56034221	41	70512	102939.2468	7492.4748	15	CUEDC1	MRPS23,VEZF1	CUEDC1	15	1	ENSG00000180891	CUEDC1	34.1576814027895	1
35_Peak_38079_lociStitched	chr10	82160137	82290597	35	60966	108529.674	13176.46	16	C10orf58,TSPAN14	DYDC1,SH2D4B,DYDC2	TSPAN14	16	1	ENSG00000108219	TSPAN14	118.962602892749	1
4_Peak_13439_lociStitched	chr8	142230659	142256083	4	20772	98118.8432	4993.2736	17	SLC45A4		SLC45A4	17	1	ENSG00000022567	SLC45A4	45.0961710860966	1
14_Peak_32406_lociStitched	chr20	45925219	45991862	14	36961	98498.354	6804.2503	18	ZMYND8,LOC100131496	ZMYND8	LOC100131496	18	1	ENSG00000267882		1.64218263588924	1
3_Peak_24442_lociStitched	chr11	118777851	118801483	3	23370	92717.7888	2379.7424	19	BCL9L	CXCR5,UPK2,FOXR1	BCL9L	19	1	ENSG00000186174	BCL9L	51.5099097810062	1
Peak_333	chr22	46458581	46486767	1	28187	92176.6758	2116.7686	20	LOC400931	C22orf26,MIRLET7A3,MIR3619,LOC100271722,LOC150381,MIRLET7B	LOC400931	20	1	ENSG00000235159		1.2776811134273	1
