#Mucinous_652_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Mucinous_652_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Mucinous_652_IP.nodup.bam
#Using cutoff of 10490.2175 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_652_IP.nodup.bam	Mucinous_652_Input.nodup.bam	enhancerRank	isSuper
44_Peak_56379_lociStitched	chr5	172141523	172338899	44	114369	167651.1744	22027.1616	1	1
49_Peak_8443_lociStitched	chr20	48803003	49012395	49	99766	127456.9104	23074.9984	2	1
53_Peak_25857_lociStitched	chr14	61920566	62087679	53	101454	113703.6852	18816.9238	3	1
40_Peak_10526_lociStitched	chr22	36718502	36866331	40	90145	107634.2949	15522.045	4	1
46_Peak_12237_lociStitched	chr6	7086430	7282831	46	84798	104308.5711	21132.7476	5	1
33_Peak_30019_lociStitched	chr17	75093072	75208528	33	67830	93865.728	13046.528	6	1
32_Peak_1325_lociStitched	chr10	73977993	74108370	32	67995	93584.6106	13441.8687	7	1
58_Peak_38272_lociStitched	chr4	185184967	185405750	58	74880	103216.0525	23999.1121	8	1
25_Peak_49862_lociStitched	chr12	6291012	6390144	25	61555	84539.7696	10507.992	9	1
25_Peak_77396_lociStitched	chr9	132164558	132264646	25	47099	83543.4536	11029.6976	10	1
21_Peak_5232_lociStitched	chr15	90686248	90777260	21	50546	82092.824	9911.2068	11	1
21_Peak_7409_lociStitched	chr17	17575546	17657350	21	54535	80266.0848	9014.8008	12	1
20_Peak_53636_lociStitched	chr20	45924017	45991657	20	48822	78198.604	7406.58	13	1
29_Peak_36615_lociStitched	chr17	57830303	57947691	29	63777	81889.8688	11797.494	14	1
14_Peak_97657_lociStitched	chr9	130277210	130347049	14	50135	76264.188	7451.8213	15	1
Peak_4203	chr17	46638633	46671168	1	32536	69084.819	3650.427	16	1
24_Peak_6637_lociStitched	chr2	233923900	233995074	24	57352	73173.9894	7950.1358	17	1
27_Peak_40212_lociStitched	chr19	39126710	39228042	27	60302	75634.2048	10497.9952	18	1
27_Peak_3391_lociStitched	chr2	28807243	28910997	27	60933	75896.051	11734.5774	19	1
27_Peak_61946_lociStitched	chr17	76309737	76421533	27	57141	74992.7568	12029.2496	20	1
