ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust
ENSG00000001084	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	GCLC	6	53362139	53481768	-1	11919	10	9	0.0116557642652549	4	169	8	2	6	0.234216438336283
ENSG00000001460	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	STPG1	1	24683489	24743424	-1	14378	6	6	0.280012597094632	4	169	3	3	1	0.59567822356094
ENSG00000001461	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	NIPAL3	1	24742284	24799466	1	15898	7	7	0.21524915348765	5	169	4	3	2	0.544564455249287
ENSG00000001617	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	SEMA3F	3	50192478	50226508	1	26681	11	10	0.28567263007341	8	169	2	1	3	0.600585080226478
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	7642	3	3	0.422344113838041	2	169	2	1	1	0.689836785605251
ENSG00000002919	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	SNX11	17	46180719	46200436	1	1759	1	1	0.423192664678629	0	169	1	1	0	0.689836785605251
ENSG00000002933	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	TMEM176A	7	150497491	150502208	1	12209	9	9	0.013419210795845	4	169	3	1	2	0.255571523123127
ENSG00000003147	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	ICA1	7	8152814	8302317	-1	7342	5	5	0.0787714993416703	2	169	4	1	3	0.410762539084364
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	24418	7	7	0.613253046391573	7	169	6	5	1	0.782500371593903
ENSG00000003989	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	SLC7A2	8	17354597	17428082	1	4412	2	2	0.399200471841118	1	169	1	1	0	0.673392243207421
ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	SARM1	17	26691378	26728065	1	4772	2	2	0.437559433209957	1	169	1	1	0	0.694450494044616
ENSG00000004838	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	ZMYND10	3	50378541	50384283	-1	3171	3	2	0.25968475531266	1	169	2	1	2	0.584767742257166
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	PRSS22	16	2902728	2908171	-1	14336	5	5	0.44999052003807	4	169	2	2	0	0.702849637449907
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	8960	9	9	0.00194116542135359	3	169	5	1	4	0.112978389791178
ENSG00000005379	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	BZRAP1	17	56378592	56406152	-1	3947	1	1	0.709075908969404	1	169	1	1	0	0.829343828553127
ENSG00000005448	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	WDR54	2	74648805	74652882	1	8064	3	3	0.456316935367773	2	169	3	2	1	0.707149014115457
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	6964	4	4	0.170900208445173	2	169	3	1	2	0.508861563737684
ENSG00000005961	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	ITGA2B	17	42449548	42466873	-1	4192	2	2	0.375160677196516	1	169	2	2	0	0.658232433095722
ENSG00000006007	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	GDE1	16	19513015	19533467	-1	17985	6	4	0.804116097545467	5	169	2	2	0	0.872441379087792
ENSG00000006015	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	C19orf60	19	18699495	18703146	1	15642	7	7	0.204338939908698	5	169	2	2	0	0.539409997206124
ENSG00000006025	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	OSBPL7	17	45884738	45899200	-1	4736	2	2	0.433782829559607	1	169	2	1	1	0.693258848245619
ENSG00000006042	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	TMEM98	17	31254928	31272124	1	4638	2	2	0.423433363385434	1	169	2	1	1	0.689895537927645
ENSG00000006047	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	YBX2	17	7191571	7197934	-1	7550	2	2	0.680834529020967	2	169	1	1	2	0.817137152734174
ENSG00000006210	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	CX3CL1	16	57406370	57418960	1	5943	4	4	0.114359293925013	2	169	1	1	1	0.462302720946965
ENSG00000006282	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	SPATA20	17	48620419	48633213	1	26998	10	9	0.428384021801542	8	169	4	3	1	0.691194819289521
ENSG00000006327	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	TNFRSF12A	16	3068446	3072384	1	3438	3	3	0.0928509682647281	1	169	2	1	1	0.434120130402772
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	3812	2	2	0.332760670707307	1	169	2	1	1	0.632150518374095
ENSG00000006453	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	BAIAP2L1	7	97920963	98030380	-1	7777	6	5	0.0946693463345407	2	169	3	1	2	0.437658087189916
ENSG00000006459	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	KDM7A	7	139784546	139876835	-1	15451	5	5	0.514375017024606	5	169	3	3	0	0.732681704303356
ENSG00000006534	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	ALDH3B1	11	67776048	67796744	1	21324	7	7	0.472760547153907	6	169	1	1	1	0.716498022874565
ENSG00000006555	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	TTC22	1	55245385	55266940	-1	23191	17	16	0.00177792343203698	7	169	5	3	2	0.112705711647913
ENSG00000006607	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	FARP2	2	242295658	242434256	1	8930	4	4	0.298483861148386	3	169	4	1	3	0.60958493636344
ENSG00000006634	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	DBF4	7	87505531	87538856	1	6045	3	3	0.289392533920187	2	169	2	1	2	0.605175081789671
ENSG00000007038	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	PRSS21	16	2867164	2876305	1	2717	1	1	0.572553729614507	1	169	1	1	1	0.762876925901385
ENSG00000007171	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	NOS2	17	26083792	26127525	-1	4726	1	1	0.771992823309928	1	169	1	1	0	0.860960881751346
ENSG00000007174	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	DNAH9	17	11501748	11873065	1	7835	6	5	0.0969038426396142	2	169	6	1	6	0.439463040293476
ENSG00000007216	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]	protein_coding	SLC13A2	17	26800311	26824799	1	4772	2	2	0.437559433209957	1	169	1	1	0	0.694450494044616
ENSG00000007376	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	RPUSD1	16	834974	838397	-1	2314	3	3	0.0363119986923268	1	169	1	1	0	0.32642451211645
ENSG00000007384	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	RHBDF1	16	108058	126354	-1	10544	3	3	0.634404872175319	3	169	2	2	0	0.797322400797546
ENSG00000007392	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	LUC7L	16	238968	279462	-1	24112	8	7	0.600242976854551	7	169	7	4	3	0.776148475249978
ENSG00000007516	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	BAIAP3	16	1383602	1399439	1	30956	15	15	0.0446482470694425	9	169	6	5	2	0.346795485878089
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	PIGQ	16	616995	634136	1	46764	16	14	0.513711468366728	14	169	6	5	2	0.732681704303356
ENSG00000007545	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	CRAMP1L	16	1662326	1727909	1	40224	12	12	0.535690573859906	12	169	6	6	1	0.742917503070417
ENSG00000007866	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	TEAD3	6	35441374	35464853	-1	15173	7	7	0.184926220442364	4	169	3	3	0	0.522536345825895
ENSG00000008128	cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]	protein_coding	CDK11A	1	1634169	1655766	-1	24707	10	10	0.215140524880236	7	169	4	3	1	0.544564455249287
ENSG00000008130	NAD kinase [Source:HGNC Symbol;Acc:29831]	protein_coding	NADK	1	1682671	1711896	-1	20679	8	8	0.294114792346577	6	169	3	2	2	0.607247489007017
ENSG00000008300	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:3230]	protein_coding	CELSR3	3	48673902	48700348	-1	3580	2	2	0.306458016181722	1	169	1	1	1	0.616758192566319
ENSG00000008323	pleckstrin homology domain containing, family G (with RhoGef domain) member 6 [Source:HGNC Symbol;Acc:25562]	protein_coding	PLEKHG6	12	6419602	6437672	1	9572	3	3	0.569622206314048	3	169	2	1	2	0.76134636433514
ENSG00000008394	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061]	protein_coding	MGST1	12	16500076	16762193	1	5657	6	6	0.008694393607944	2	169	3	1	3	0.202129661050891
ENSG00000008405	cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]	protein_coding	CRY1	12	107385142	107487607	-1	6357	3	3	0.315532681456161	2	169	3	1	2	0.622792801315809
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7788]	protein_coding	NFIX	19	13106422	13209610	1	63678	41	26	0.0392476820092091	18	169	5	4	2	0.32908735210692
ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:10862]	protein_coding	ST3GAL1	8	134467091	134584183	-1	8651	5	5	0.131054651386164	3	169	2	1	2	0.480093182865222
ENSG00000008516	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]	protein_coding	MMP25	16	3096682	3110727	1	24933	10	10	0.222845347558536	7	169	4	3	1	0.548721368969404
ENSG00000008517	interleukin 32 [Source:HGNC Symbol;Acc:16830]	protein_coding	IL32	16	3115298	3131908	1	5960	2	2	0.553686455647231	2	169	1	1	1	0.751603885602137
ENSG00000008710	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:9008]	protein_coding	PKD1	16	2138711	2185899	-1	33713	6	5	0.976857573975196	10	169	2	2	1	0.980055619604282
ENSG00000008838	mediator complex subunit 24 [Source:HGNC Symbol;Acc:22963]	protein_coding	MED24	17	38175350	38217468	-1	3325	3	3	0.0861008042810995	1	169	2	1	1	0.420646103234183
ENSG00000008853	Rho-related BTB domain containing 2 [Source:HGNC Symbol;Acc:18756]	protein_coding	RHOBTB2	8	22844930	22877712	1	6393	5	4	0.138160756232694	2	169	2	1	1	0.484490945967669
ENSG00000010030	ets variant 7 [Source:HGNC Symbol;Acc:18160]	protein_coding	ETV7	6	36322419	36356164	-1	4112	6	6	0.00190013811481393	1	169	2	1	1	0.112978389791178
ENSG00000010278	CD9 molecule [Source:HGNC Symbol;Acc:1709]	protein_coding	CD9	12	6308881	6347425	1	88858	32	27	0.342786250265407	25	169	7	7	1	0.635766223836736
ENSG00000010292	non-SMC condensin I complex, subunit D2 [Source:HGNC Symbol;Acc:24305]	protein_coding	NCAPD2	12	6602522	6641121	1	11283	5	5	0.26851037948639	3	169	4	2	3	0.588934112057549
ENSG00000010379	solute carrier family 6 (neurotransmitter transporter), member 13 [Source:HGNC Symbol;Acc:11046]	protein_coding	SLC6A13	12	329789	372039	-1	10065	7	7	0.0369690639610497	3	169	5	1	4	0.32642451211645
