REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HG_Serous_550_IP.nodup.bam	HG_Serous_550_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
24_Peak_1441_lociStitched	chr5	131744985	131837089	24	52837	90869.8064	10859.0616	1	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	1	1	ENSG00000125347	IRF1	37.9680887497992	1
29_Peak_20331_lociStitched	chr1	118148675	118230533	29	43675	61778.2326	10420.5234	2	FAM46C		FAM46C	2	1	ENSG00000183508	TENT5C	9.24797758290234	2
12_Peak_2816_lociStitched	chr1	203236554	203297647	12	29991	55997.8438	7263.9577	3	BTG2,LOC730227	CHIT1,LOC730227,FMOD	LOC730227	3	1	ENSG00000159388	BTG2	65.1473953359288	1
68_Peak_25218_lociStitched	chr14	22943761	23039280	68	64837	54770.5946	9876.6646	4	DAD1	ABHD4	DAD1	4	1	ENSG00000129562	DAD1	48.7801753166852	1
26_Peak_102127_lociStitched	chr4	185264530	185400759	26	30874	60976.1004	16252.1197	5	IRF2		IRF2	5	1	ENSG00000168310	IRF2	16.806026491713	1
27_Peak_8351_lociStitched	chr14	91782098	91885446	27	39060	54009.6648	12412.0948	6	CCDC88C		CCDC88C	6	1	ENSG00000015133	CCDC88C	34.4256178967733	1
12_Peak_74036_lociStitched	chr11	65171171	65209524	12	17466	45003.4102	4153.6299	7	FRMD8,NEAT1	TIGD3,SLC25A45,MIR612	NEAT1	7	1	ENSG00000245532	NEAT1	2115.87873530667	1
22_Peak_50342_lociStitched	chr16	81817048	81876766	22	35904	47332.4868	6825.7674	8	PLCG2		PLCG2	8	1	ENSG00000197943	PLCG2	9.24212488972803	1
6_Peak_8_lociStitched	chr12	12866238	12902737	6	15143	43849.8986	3930.9423	9	APOLD1,CDKN1B	APOLD1,MIR613,GPR19	APOLD1	9	1	ENSG00000178878	APOLD1	38.8976144803721	1
39_Peak_9094_lociStitched	chr10	126325127	126438266	39	38223	53989.9308	14266.8279	10	FAM53B	METTL10	FAM53B	10	1	ENSG00000189319	FAM53B	26.527093593062	1
3_Peak_436_lociStitched	chr1	150532559	150553218	3	20345	41817.9478	2567.9137	11	MCL1,ADAMTSL4	MIR4257,MCL1,ENSA	MCL1	11	1	ENSG00000143384	MCL1	147.30744040547	1
19_Peak_68306_lociStitched	chr3	141079914	141133908	19	32281	45138.984	6014.9316	12	ZBTB38		ZBTB38	12	1	ENSG00000177311	ZBTB38	66.2808329749733	1
3_Peak_1202_lociStitched	chr1	234734161	234750018	3	15516	38876.6069	1590.4571	13	IRF2BP2	NCRNA00184	IRF2BP2	13	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
4_Peak_313_lociStitched	chr2	201979987	201999194	4	17493	39241.8217	2366.3024	14	CFLAR	CASP10,FAM126B,NDUFB3	CFLAR	14	1	ENSG00000003402	CFLAR	169.444852423572	1
13_Peak_16938_lociStitched	chr11	65238612	65276495	13	25883	40856.8155	4242.896	15	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	15	1	ENSG00000251562	MALAT1	20699.8595193961	1
14_Peak_4362_lociStitched	chr17	75419059	75468960	14	27612	42071.5331	6427.2488	16	SEPT9	SEPT9,MIR4316	SEPT9	16	1	ENSG00000184640	SEPT9	174.507218347983	1
27_Peak_16633_lociStitched	chr7	55572126	55641310	27	34167	43779.6352	8163.712	17	VOPP1		VOPP1	17	1	ENSG00000154978	VOPP1	20.3724258321962	1
9_Peak_39387_lociStitched	chr14	69245756	69283919	9	18269	38716.3635	4373.4798	18	C14orf181,ZFP36L1		C14orf181	18	1	ENSG00000185650	ZFP36L1	374.570349120322	1
5_Peak_40911_lociStitched	chr19	12888446	12907046	5	15783	36327.66	2265.48	19	JUNB	ASNA1,HOOK2,RNASEH2A,PRDX2,RTBDN,C19orf43,MAST1,BEST2	JUNB	19	1	ENSG00000171223	JUNB	39.8365072396161	1
29_Peak_72515_lociStitched	chr22	23199917	23286632	29	35719	43080.012	9061.7175	20	IGLL5	MIR650	IGLL5	20	1	ENSG00000254709	IGLL5	1.77801271736296	1
36_Peak_16454_lociStitched	chr14	70078293	70194208	36	33034	46829.66	13631.604	21	KIAA0247	SRSF5,C14orf162,LOC100289511	KIAA0247	21	1	ENSG00000100647	SUSD6	30.3260341625216	1
28_Peak_51424_lociStitched	chr14	65748591	65837751	28	33760	41682.3	9852.18	22		FUT8,LOC645431	FUT8	22	1	ENSG00000033170	FUT8	25.226486378484	1
19_Peak_39796_lociStitched	chr4	40185429	40249713	19	25439	37843.9908	6589.11	23	RHOH		RHOH	23	1	ENSG00000168421	RHOH	0.835121793048803	1
19_Peak_10916_lociStitched	chr10	104361755	104436846	19	20971	39850.7937	8710.556	24	SUFU,ARL3,TRIM8	SFXN2	TRIM8	24	1	ENSG00000171206	TRIM8	51.1955553646589	1
10_Peak_40737_lociStitched	chr15	89164489	89200673	10	16277	35217.8872	4414.448	25	ISG20,AEN	MIR1179,MIR7-2	ISG20	25	1	ENSG00000181026	AEN	12.2932971559753	1
5_Peak_105_lociStitched	chr2	43439922	43479125	5	12831	34800.5031	4257.4458	26	THADA,LOC100129726,ZFP36L2		LOC100129726	26	1	ENSG00000152518	ZFP36L2	193.662045632807	1
17_Peak_20489_lociStitched	chr19	2031884	2093974	17	23276	37949.408	7599.816	27	MKNK2,MOBKL2A	BTBD2,IZUMO4	MKNK2	27	1	ENSG00000099875	MKNK2	64.5326538904264	1
20_Peak_21786_lociStitched	chr22	29183380	29223589	20	23912	35078.3316	4760.7456	28	CCDC117,XBP1	XBP1,HSCB,CHEK2	XBP1	28	1	ENSG00000100219	XBP1	100.319523712532	1
5_Peak_73700_lociStitched	chr1	156450730	156479054	5	21249	33716.8896	3551.8296	29	MEF2D		MEF2D	29	1	ENSG00000116604	MEF2D	33.8224326184765	1
7_Peak_602_lociStitched	chr19	13260354	13287717	7	15309	32816.4459	3193.2621	30	STX10,IER2	TRMT1,NACC1,LYL1	IER2	30	1	ENSG00000160888	IER2	73.6196528020863	1
6_Peak_2_lociStitched	chr15	45002026	45024000	6	16384	32053.4738	2443.5088	31	B2M	SPG11,PATL2,TRIM69	B2M	31	1	ENSG00000166710	B2M	245.497299651388	1
4_Peak_27263_lociStitched	chr12	125389052	125425995	4	14723	33300.4202	3945.5124	32	UBC	SCARB1,DHX37	UBC	32	1	ENSG00000150991	UBC	333.878972987389	1
7_Peak_15009_lociStitched	chr9	134127444	134153917	7	17661	32490.3129	3301.1831	33	FAM78A	PPAPDC3	FAM78A	33	1	ENSG00000126882	FAM78A	2.18957684785233	1
26_Peak_10453_lociStitched	chr3	32435460	32509468	26	27953	36966.996	8192.6856	34	CMTM7	CMTM6	CMTM7	34	1	ENSG00000153551	CMTM7	61.9004669788944	1
16_Peak_41686_lociStitched	chr17	74476200	74527274	16	18801	34730.32	6169.7392	35	RHBDF2,CYGB,PRCD	AANAT,SNORD1A,SNORD1B,PRCD,SNORD1C,UBE2O	RHBDF2	35	1	ENSG00000129667	RHBDF2	23.4711930748744	1
13_Peak_25056_lociStitched	chr6	106531299	106594349	13	19148	35629.555	7313.8	36	PRDM1		PRDM1	36	1	ENSG00000057657	PRDM1	8.28192165428144	1
13_Peak_56837_lociStitched	chr1	28185539	28219906	13	20202	32329.0369	4062.1794	37	RPA2,C1orf38	PPP1R8,SCARNA1,SMPDL3B	C1orf38	37	1	ENSG00000130775	THEMIS2	9.2081429449691	1
4_Peak_5876_lociStitched	chr19	39888200	39902956	4	12743	30189.3004	1953.6944	38	ZFP36,MED29	PLEKHG2,SUPT5H,RPS16,PAF1	ZFP36	38	1	ENSG00000128016	ZFP36	71.1403336376348	1
11_Peak_3227_lociStitched	chr10	81001378	81054924	11	16854	34965.538	6950.2708	39	ZMIZ1		PPIF	39	1	ENSG00000108179	PPIF	20.6817742192233	1
9_Peak_16912_lociStitched	chr12	48195680	48223356	9	17699	31008.1904	3539.7604	40	HDAC7	RAPGEF3,SLC48A1,HDAC7	HDAC7	40	1	ENSG00000061273	HDAC7	84.4115852748388	1
22_Peak_19095_lociStitched	chr15	40336761	40408765	22	26103	35922.7956	8712.484	41	BMF	SRP14,BUB1B,BMF	BMF	41	1	ENSG00000104081	BMF	13.573751795881	1
9_Peak_92819_lociStitched	chr15	75063744	75093192	9	17363	30849.7248	3904.8048	42	CSK	ULK3,CYP1A1,CPLX3,LMAN1L,CYP1A2	CSK	42	1	ENSG00000103653	CSK	30.0559271444326	1
18_Peak_20874_lociStitched	chr10	125819039	125867297	18	23152	32887.827	5983.992	43	CHST15		CHST15	43	1	ENSG00000182022	CHST15	27.0639331773874	1
21_Peak_29244_lociStitched	chrX	12967697	13033036	21	22621	33629.9833	6880.1967	44	TMSL3,TMSB4X	TLR8,FAM9C,LOC349408	TMSB4X	44	1	ENSG00000205542	TMSB4X	677.934169551908	1
19_Peak_22203_lociStitched	chr3	186694739	186762919	19	29101	34233.178	7533.89	45	ST6GAL1	ST6GAL1	ST6GAL1	45	1	ENSG00000073849	ST6GAL1	40.4745128950862	1
6_Peak_68327_lociStitched	chr3	5014735	5037185	6	12287	28897.64	2579.505	46	BHLHE40		BHLHE40	46	1	ENSG00000134107	BHLHE40	70.0664591312744	1
Peak_89	chr22	50963039	50973968	1	10930	27007.7448	1098.3645	47	ODF3B,SCO2,TYMP,NCAPH2	C22orf41,CPT1B,LMF2,SBF1,LOC100144603,ADM2,MIOX,KLHDC7B,CHKB,TYMP	TYMP	47	1	ENSG00000025708	TYMP	28.4131942843118	1
14_Peak_24828_lociStitched	chr15	81576608	81623705	14	16874	31262.9886	5364.3483	48	STARD5,IL16	TMC3	IL16	48	1	ENSG00000172349	IL16	5.08618014637936	1
2_Peak_754_lociStitched	chr17	43298233	43309370	2	9923	27003.8839	1266.2769	49	FMNL1	LOC100133991,C17orf46	FMNL1	49	1	ENSG00000184922	FMNL1	11.4993093588311	1
14_Peak_47991_lociStitched	chr11	117845216	117887494	14	20818	30812.2064	5217.1052	50	IL10RA	TMPRSS13	IL10RA	50	1	ENSG00000110324	IL10RA	5.22285457138349	1
9_Peak_68507_lociStitched	chr9	117125950	117161200	9	16878	29694.6	4437.975	51	AKNA	ORM2,ORM1	AKNA	51	1	ENSG00000106948	AKNA	21.0513173926593	1
8_Peak_37996_lociStitched	chr5	139013505	139051687	8	17379	30179.0528	5074.3878	52	CXXC5		CXXC5	52	1	ENSG00000171604	CXXC5	44.7229510821834	1
9_Peak_26736_lociStitched	chr3	13035076	13064597	9	19466	28369.681	3527.7595	53	IQSEC1	IQSEC1	IQSEC1	53	1	ENSG00000144711	IQSEC1	38.3542743316867	1
14_Peak_32017_lociStitched	chr2	158260454	158310567	14	17297	29762.1107	4956.1757	54	CYTIP		CYTIP	54	1	ENSG00000115165	CYTIP	1.50145440883736	1
