seqnames	start	end	width	strand	nj	nSNV	nSamples	p.value	p.adjust
chr1	858760	861289	2530	*	2530	2	2	0.332567169823601	0.706398647742881
chr1	874986	875749	764	*	764	1	1	0.302196854461377	0.706398647742881
chr1	875444	878781	3338	*	3338	4	4	0.0724814526874513	0.706398647742881
chr1	893562	895855	2294	*	2294	2	2	0.292182106804312	0.706398647742881
chr1	895465	897014	1550	*	1550	1	1	0.51808992232752	0.722303742948817
chr1	900897	903089	2193	*	2193	1	1	0.644001608012929	0.764416477822022
chr1	911137	912323	1187	*	1187	1	1	0.42824058623721	0.706398647742881
chr1	939812	942800	2989	*	2989	1	1	0.755299001644542	0.808242808708447
chr1	967717	968760	1044	*	1044	1	1	0.388407337674111	0.706398647742881
chr1	992731	995795	3065	*	3065	3	3	0.17425050194874	0.706398647742881
chr1	998406	998919	514	*	514	1	1	0.215004011155298	0.706398647742881
chr1	998820	1000485	1666	*	1666	1	1	0.543711426202134	0.730651288688011
chr1	1002144	1006405	4262	*	4262	4	4	0.139817814255859	0.706398647742881
chr1	1007843	1010480	2638	*	2638	1	1	0.711312087602472	0.788663447506135
chr1	1050406	1052690	2285	*	2285	2	2	0.290633148749477	0.706398647742881
chr1	1057481	1058224	744	*	744	1	1	0.295592966085072	0.706398647742881
chr1	1063433	1065284	1852	*	1852	1	1	0.581981488490716	0.742872285759303
chr1	1067185	1069490	2306	*	2306	3	3	0.0950514701924556	0.706398647742881
chr1	1070881	1073966	3086	*	3086	2	2	0.424455956493619	0.706398647742881
chr1	1078615	1080956	2342	*	2342	1	1	0.66812704256727	0.77272069112547
chr1	1096460	1102869	6410	*	6410	2	2	0.801836475435429	0.835001366598587
chr1	1125559	1126809	1251	*	1251	1	1	0.445217327880474	0.706568583062288
chr1	1126596	1127398	803	*	803	1	1	0.31489689075114	0.706398647742881
chr1	1135471	1137531	2061	*	2061	1	1	0.621167648196418	0.756613259278664
chr1	1140378	1142834	2457	*	2457	1	1	0.685623562166895	0.778831283382896
chr1	1166048	1168595	2548	*	2548	3	3	0.118423257284627	0.706398647742881
chr1	1179253	1179958	706	*	706	1	1	0.282872907284201	0.706398647742881
chr1	1216264	1218412	2149	*	2149	1	1	0.636547457803167	0.761301572773768
chr1	1239576	1241942	2367	*	2367	1	1	0.672011653037109	0.774086578782718
chr1	1242266	1245649	3384	*	3384	1	1	0.796837659281934	0.831578728453521
chr1	1252286	1254941	2656	*	2656	1	1	0.713749064332958	0.78989843796318
chr1	1259313	1261774	2462	*	2462	4	4	0.0292359758595065	0.706398647742881
chr1	1278692	1281674	2983	*	2983	1	1	0.754606548216518	0.807933190995051
chr1	1281336	1285048	3713	*	3713	3	3	0.251926049306194	0.706398647742881
chr1	1284677	1285720	1044	*	1044	1	1	0.388407337674111	0.706398647742881
chr1	1291763	1296497	4735	*	4735	4	4	0.181244354054138	0.706398647742881
chr1	1309237	1312238	3002	*	3002	3	2	0.410964222589588	0.706398647742881
chr1	1332989	1336567	3579	*	3579	2	2	0.500126992780705	0.717381495425526
chr1	1352209	1357638	5430	*	5430	7	7	0.0140757209942365	0.706398647742881
