#Mucinous_464_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Mucinous_464_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Mucinous_464_IP.nodup.bam
#Using cutoff of 13646.806 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_464_IP.nodup.bam	Mucinous_464_INPUT.nodup.bam	enhancerRank	isSuper
24_Peak_32230_lociStitched	chr1	201971436	202104504	24	87841	149834.568	12841.062	1	1
25_Peak_33427_lociStitched	chr20	42979281	43094557	25	80962	151149.8912	18617.074	2	1
34_Peak_1864_lociStitched	chr2	43327835	43504637	34	80321	143846.1072	21552.1638	3	1
36_Peak_7617_lociStitched	chr22	36718814	36866836	36	104742	121733.2928	12996.3316	4	1
23_Peak_30536_lociStitched	chr19	39125474	39227278	23	81419	117705.7848	10679.2396	5	1
31_Peak_33650_lociStitched	chr5	172191462	172334022	31	80478	121304.304	17463.6	6	1
23_Peak_51576_lociStitched	chr5	131744348	131862633	23	70497	116250.498	14986.7095	7	1
25_Peak_1504_lociStitched	chr1	27814363	27933428	25	58430	112409.2665	15942.8035	8	1
21_Peak_10224_lociStitched	chr1	10777262	10880704	21	61734	107041.7816	13116.4456	9	1
17_Peak_54055_lociStitched	chr1	16465058	16553970	17	56279	103146.8112	12154.2704	10	1
27_Peak_17876_lociStitched	chr1	17824431	17933408	27	66139	105925.644	15289.4731	11	1
23_Peak_12784_lociStitched	chr11	12088209	12201796	23	69628	103966.1811	14459.6251	12	1
19_Peak_8650_lociStitched	chr2	28563638	28673445	19	51196	102944.0625	13605.0873	13	1
13_Peak_4881_lociStitched	chr7	130570016	130646792	13	57373	99954.6744	10656.5088	14	1
10_Peak_62688_lociStitched	chr1	43987530	44053253	10	46020	98183.5897	9214.3646	15	1
18_Peak_15083_lociStitched	chr2	232467763	232577600	18	44522	99622.159	13444.0488	16	1
9_Peak_10882_lociStitched	chr1	117002613	117058394	9	49048	90220.1894	8752.0389	17	1
15_Peak_55536_lociStitched	chr20	45932227	45990670	15	41164	89417.79	9742.4481	18	1
43_Peak_15145_lociStitched	chr1	54715661	54891465	43	74995	104374.8348	24805.9444	19	1
21_Peak_506_lociStitched	chr14	74184224	74292051	21	53241	90197.2855	12648.1071	20	1
16_Peak_39877_lociStitched	chr2	47520952	47609887	16	45456	87921.141	10867.857	21	1
36_Peak_29652_lociStitched	chr3	57928625	58058103	36	72454	93767.9676	16728.5576	22	1
41_Peak_49908_lociStitched	chr2	42217027	42375012	41	53017	95059.5745	18105.081	23	1
11_Peak_56177_lociStitched	chr18	19743852	19831249	11	45794	86086.045	10103.0932	24	1
26_Peak_23383_lociStitched	chr2	54749937	54862935	26	65649	90850.392	15525.9252	25	1
12_Peak_18188_lociStitched	chr12	6275428	6351393	12	48800	84814.9225	10088.152	26	1
8_Peak_4942_lociStitched	chr2	20377563	20436489	8	43163	81270.7392	7330.3944	27	1
25_Peak_29639_lociStitched	chr2	208598793	208714053	25	54346	88196.952	14338.344	28	1
42_Peak_45693_lociStitched	chr1	19690016	19833419	42	65776	94803.7233	21137.6022	29	1
10_Peak_7460_lociStitched	chr10	81903706	81969358	10	44404	80404.0044	8318.1084	30	1
18_Peak_66536_lociStitched	chr19	45220012	45288716	18	48451	78590.5056	6932.2336	31	1
3_Peak_137_lociStitched	chr1	15726905	15760348	3	25408	75905.5771	5103.4018	32	1
39_Peak_47115_lociStitched	chr2	43132509	43315141	39	78505	91991.7384	21349.6808	33	1
13_Peak_3015_lociStitched	chr14	93471404	93542152	13	41027	78799.1224	8171.394	34	1
13_Peak_6240_lociStitched	chr2	10508440	10593707	13	50865	80747.849	10999.443	35	1
42_Peak_32826_lociStitched	chr15	67315850	67491161	42	74270	87375.0024	18249.8751	36	1
25_Peak_26555_lociStitched	chr10	105504182	105619561	25	65888	81872.9384	13649.3357	37	1
7_Peak_1630_lociStitched	chr5	141210885	141258926	7	35306	72902.2175	5495.8904	38	1
14_Peak_71453_lociStitched	chr1	33177726	33241434	14	34977	75360.1932	8664.288	39	1
22_Peak_86477_lociStitched	chr10	126314195	126438143	22	60516	81681.732	15047.2872	40	1
