#Endometrioid_589_Tu_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Endometrioid_589_Tu_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Endometrioid_589_Tu_IP.nodup.bam
#Using cutoff of 20167.791 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_589_Tu_IP.nodup.bam	Endometrioid_589_Tu_Input.nodup.bam	enhancerRank	isSuper
103_Peak_80649_lociStitched	chr12	124841897	125260270	103	234384	452010.1892	60580.4104	1	1
45_Peak_68743_lociStitched	chr17	76246570	76418061	45	97102	190509.3519	21024.7966	2	1
58_Peak_35565_lociStitched	chr5	172140812	172382741	58	112546	194801.2308	29926.6173	3	1
63_Peak_7623_lociStitched	chr20	48835694	49081239	63	114868	186761.527	30987.779	4	1
20_Peak_61604_lociStitched	chr9	132164139	132269883	20	52703	157125.0096	12646.9824	5	1
34_Peak_6570_lociStitched	chr2	43354254	43504579	34	69653	151046.56	17963.8375	6	1
46_Peak_41728_lociStitched	chr17	75275821	75474094	46	91936	157508.0712	24427.2336	7	1
43_Peak_14343_lociStitched	chr22	36715985	36867821	43	94155	150985.7184	18448.074	8	1
44_Peak_97704_lociStitched	chr2	28542385	28694904	44	73442	151024.3138	18790.3408	9	1
22_Peak_2199_lociStitched	chr10	74002151	74098122	22	55606	127487.8764	13915.795	10	1
6_Peak_25112_lociStitched	chr3	50264166	50314563	6	46214	117309.0969	6516.3321	11	1
49_Peak_50328_lociStitched	chr14	61927626	62083427	49	71917	129735.4927	19428.3847	12	1
11_Peak_8638_lociStitched	chr19	2027662	2096699	11	49321	115091.5827	9313.0913	13	1
37_Peak_35797_lociStitched	chr19	2461689	2637678	37	74171	124125.0417	19569.9768	14	1
Peak_402	chr19	1243867	1272677	1	28811	107550.611	3699.204	15	1
11_Peak_17078_lociStitched	chr8	145001793	145053493	11	40173	110519.09	7005.35	16	1
20_Peak_3978_lociStitched	chr9	132310539	132377675	20	49821	111123.5072	8251.0144	17	1
9_Peak_17492_lociStitched	chr11	118739431	118809944	9	33195	109894.5105	8433.3548	18	1
37_Peak_18711_lociStitched	chr17	38598541	38718987	37	76856	109449.2802	13766.9778	19	1
28_Peak_38954_lociStitched	chr17	17566276	17696726	28	55809	109277.965	15106.11	20	1
30_Peak_7169_lociStitched	chr10	79580206	79683923	30	66758	104764.5417	14707.0706	21	1
9_Peak_96731_lociStitched	chr22	50319421	50364872	9	33972	95556.1824	5626.8338	22	1
22_Peak_40296_lociStitched	chr1	16464157	16545094	22	54679	98985.951	9591.0345	23	1
5_Peak_39527_lociStitched	chr19	12868569	12907662	5	21040	94089.0324	4722.4344	24	1
15_Peak_23690_lociStitched	chr11	65236079	65289675	15	34145	94441.5116	6779.894	25	1
25_Peak_54060_lociStitched	chr15	90541194	90646943	25	48356	100567.299	13070.5764	26	1
15_Peak_35678_lociStitched	chr1	235090045	235154069	15	39133	94499.424	8291.108	27	1
14_Peak_44666_lociStitched	chr1	12190458	12257653	14	48362	92749.2585	8184.351	28	1
25_Peak_13382_lociStitched	chr17	55937502	56033774	25	58472	96512.68	12091.7632	29	1
21_Peak_41908_lociStitched	chr12	6247497	6351260	21	49475	96312.8166	13821.2316	30	1
23_Peak_54197_lociStitched	chr19	45219967	45278735	23	39724	88410.5792	6629.0304	31	1
55_Peak_48735_lociStitched	chr1	19687765	19835095	55	73780	98607.969	16928.217	32	1
14_Peak_24568_lociStitched	chr14	69223733	69291724	14	28532	89482.9551	8070.5317	33	1
35_Peak_71727_lociStitched	chr19	39125601	39227505	35	65552	92498.2608	12116.3856	34	1
11_Peak_1198_lociStitched	chr19	13250224	13284312	11	26399	83986.0144	4012.1576	35	1
22_Peak_13545_lociStitched	chr14	75688598	75780606	22	41432	91492.7552	11639.012	36	1
40_Peak_60520_lociStitched	chr17	76857501	77002798	40	59270	97319.9306	17522.8182	37	1
20_Peak_4852_lociStitched	chr10	5576570	5688523	20	45462	93671.0751	15303.9751	38	1
16_Peak_31012_lociStitched	chr9	130280453	130347067	16	40801	86105.2564	7793.838	39	1
19_Peak_35493_lociStitched	chr2	232461500	232547016	19	40737	85687.032	10099.4396	40	1
14_Peak_73480_lociStitched	chr3	5016627	5069437	14	32627	79986.026	6078.431	41	1
39_Peak_18697_lociStitched	chr11	126180295	126302784	39	63305	87261.1636	13706.5191	42	1
