ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	6541	1	1	0.194359127526412	0	35	1	1	0	0.285060053705404
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	15327	2	2	0.0872697546488949	0	35	2	2	0	0.248663961695301
ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	SARM1	17	26691378	26728065	1	5664	2	2	0.0145655234249721	0	35	2	2	0	0.163404808011235
ENSG00000004660	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	CAMKK1	17	3763609	3798185	-1	11676	1	1	0.320079647147266	0	35	1	1	0	0.35984806278268
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	22291	4	4	0.00495417317845348	1	35	3	3	0	0.126055327264129
ENSG00000005073	homeobox A11 [Source:HGNC Symbol;Acc:5101]	protein_coding	HOXA11	7	27221129	27224842	-1	5342	3	3	0.000670241094193891	0	35	2	2	0	0.0401419283858969
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	4762	1	1	0.145585078161411	0	35	1	1	0	0.26893444396178
ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	DLX6	7	96634860	96640351	1	11801	1	1	0.32288196068277	0	35	1	1	0	0.360971484175293
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	5415	1	1	0.163821960064037	0	35	1	1	0	0.273578117702347
ENSG00000006453	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	BAIAP2L1	7	97920963	98030380	-1	5575	1	1	0.168230720444945	0	35	1	1	0	0.274010955821721
