ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust
ENSG00000001460	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	STPG1	1	24683489	24743424	-1	5666	3	2	0.132476669769655	0	63	3	1	2	0.38019863447898
ENSG00000001461	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	NIPAL3	1	24742284	24799466	1	1774	1	1	0.183935709635938	0	63	1	1	0	0.424644124261493
ENSG00000001617	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	SEMA3F	3	50192478	50226508	1	25580	3	3	0.523698174282655	3	63	1	1	0	0.604105655269788
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	6541	2	2	0.166061481536433	1	63	1	1	0	0.415198268125668
ENSG00000002933	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	TMEM176A	7	150497491	150502208	1	10186	3	3	0.100622148346474	1	63	2	1	1	0.343805788772493
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	15327	4	4	0.0812774672834672	2	63	2	2	0	0.325223543913286
ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	SARM1	17	26691378	26728065	1	5664	2	2	0.132401788110606	0	63	2	2	0	0.38019863447898
ENSG00000004455	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	AK2	1	33473585	33546597	-1	7678	2	2	0.211485503547657	1	63	1	1	0	0.430463229058269
ENSG00000004660	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	CAMKK1	17	3763609	3798185	-1	12777	4	3	0.163112938380561	1	63	2	1	1	0.412613719457812
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	PRSS22	16	2902728	2908171	-1	14336	2	1	0.806522956853234	1	63	2	2	1	0.823505417400822
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	31113	9	6	0.0947121320921213	3	63	6	5	1	0.339002972775638
ENSG00000005073	homeobox A11 [Source:HGNC Symbol;Acc:5101]	protein_coding	HOXA11	7	27221129	27224842	-1	5342	3	3	0.0211708476399208	0	63	2	2	0	0.235233859520056
ENSG00000005379	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	BZRAP1	17	56378592	56406152	-1	3350	3	3	0.00611889305111613	0	63	2	1	1	0.194512811324925
ENSG00000005448	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	WDR54	2	74648805	74652882	1	6963	2	2	0.182739151738408	1	63	2	2	1	0.424554030441138
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	4762	2	2	0.0997502814940741	0	63	1	1	0	0.343805788772493
ENSG00000006007	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	GDE1	16	19513015	19533467	-1	10487	2	2	0.32617641551701	1	63	1	1	0	0.489138373262283
ENSG00000006015	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	C19orf60	19	18699495	18703146	1	11232	1	1	0.723886967205203	1	63	1	1	0	0.756406359815225
ENSG00000006042	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	TMEM98	17	31254928	31272124	1	3237	1	1	0.309880416646374	0	63	1	1	0	0.479488418776348
ENSG00000006210	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	CX3CL1	16	57406370	57418960	1	4076	2	2	0.0767426779160745	0	63	2	1	1	0.321171226700285
ENSG00000006282	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	SPATA20	17	48620419	48633213	1	15622	3	2	0.51942000987522	2	63	1	1	0	0.602676948414392
ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	DLX6	7	96634860	96640351	1	11801	2	2	0.378659742237278	1	63	1	1	0	0.515142901826368
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	8126	2	2	0.229710931859337	1	63	2	2	0	0.43903335953424
ENSG00000006453	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	BAIAP2L1	7	97920963	98030380	-1	6676	2	2	0.171368393605465	1	63	2	1	1	0.419078406249206
ENSG00000006459	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	KDM7A	7	139784546	139876835	-1	9604	2	2	0.29023118374698	1	63	2	2	0	0.466359259130596
ENSG00000006534	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	ALDH3B1	11	67776048	67796744	1	21324	4	4	0.190344546320257	2	63	1	1	1	0.426962540065088
ENSG00000006555	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	TTC22	1	55245385	55266940	-1	5097	2	2	0.111596516847558	0	63	1	1	0	0.356451255819149
ENSG00000006607	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	FARP2	2	242295658	242434256	1	6732	2	2	0.173577945722226	1	63	2	1	1	0.419078406249206
ENSG00000006747	scinderin [Source:HGNC Symbol;Acc:21695]	protein_coding	SCIN	7	12610203	12693228	1	4632	1	1	0.411822967696857	0	63	1	1	0	0.537340754057445
ENSG00000007047	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]	protein_coding	MARK4	19	45582546	45808541	1	8287	2	2	0.236286598392596	1	63	2	1	1	0.441728522835282
ENSG00000007216	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]	protein_coding	SLC13A2	17	26800311	26824799	1	4772	1	1	0.42118263425143	0	63	1	1	0	0.543283821728287
ENSG00000007341	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	ST7L	1	113066140	113163447	-1	6562	6	5	0.000670012838694389	1	63	3	1	2	0.117306050805494
ENSG00000007372	paired box 6 [Source:HGNC Symbol;Acc:8620]	protein_coding	PAX6	11	31806340	31839509	-1	3743	1	1	0.348753509131638	0	63	1	1	0	0.497647775374372
ENSG00000007376	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	RPUSD1	16	834974	838397	-1	5014	3	3	0.0179666967175384	0	63	2	1	1	0.231543780670619
ENSG00000007384	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	RHBDF1	16	108058	126354	-1	11648	4	3	0.134588580956591	1	63	3	2	1	0.381740430499999
ENSG00000007392	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	LUC7L	16	238968	279462	-1	24341	6	6	0.0376045782582369	2	63	4	4	0	0.281640571719413
ENSG00000007516	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	BAIAP3	16	1383602	1399439	1	4769	2	2	0.0999940379500185	0	63	1	1	0	0.343805788772493
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	PIGQ	16	616995	634136	1	44388	8	6	0.282589470791582	4	63	6	5	1	0.461670533140086
ENSG00000007545	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	CRAMP1L	16	1662326	1727909	1	36328	10	7	0.0671661144708914	4	63	6	4	2	0.312967839578535
ENSG00000007866	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	TEAD3	6	35441374	35464853	-1	21291	4	4	0.189650844086563	2	63	4	3	1	0.426962540065088
ENSG00000008128	cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]	protein_coding	CDK11A	1	1634169	1655766	-1	9126	6	2	0.270655811294866	1	63	1	1	0	0.456970549835389
