ensembl_gene_id	hgnc_symbol	gene_biotype	x1	x2	sd1	sd2	FC	deltaGE	deltaGEZ	geneMeanGE	geneMedianGE	ks.pvalue	wilcox.pvalue	fligner.pvalue	nMutated	description	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust	log2FC	negLog10WilcoxPValue	pass
ENSG00000001084	GCLC	protein_coding	4.759295087945	3.72818937884	3.51925144138571	2.78127547505208	1.27657009994107	1.031105709105	0.363776980101474	4.51663874977163	3.82519347509	0.390210181055334	0.283829559315968	0.312183208198598	6	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	6	53362139	53481768	-1	11919	10	9	0.0116557642652549	4	169	8	2	6	0.234216438336283	0.352272762234305	0.546942377098012	FALSE
ENSG00000001460	STPG1	protein_coding	1.4784840976345	1.37826072387	0.764967607788784	0.846631811078015	1.07271728202708	0.1002233737645	0.119169193963866	1.56293465818021	1.37826072387	0.956843718079673	1	0.601296971633567	2	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	1	24683489	24743424	-1	14378	6	6	0.280012597094632	4	169	3	3	1	0.59567822356094	0.10126989942971	0	FALSE
ENSG00000001461	NIPAL3	protein_coding	6.43894556874	4.99270039501	5.28247412391109	2.54021158330464	1.28967193288335	1.44624517373	0.561154588350611	5.53056190174326	4.99270039501	0.721910112359551	0.922816614650306	0.05462547855926	2	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	1	24742284	24799466	1	15898	7	7	0.21524915348765	5	169	4	3	2	0.544564455249287	0.367004119139721	0.0348845949203525	FALSE
ENSG00000001617	SEMA3F	protein_coding	15.2394165869	17.3156937205	9.94539007530284	14.6802970654748	0.880092754751033	-2.0762771336	-0.144713242311728	20.4032732999012	17.3156937205	0.363380147718311	0.318796254688661	0.536000429490122	8	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	3	50192478	50226508	1	26681	11	10	0.28567263007341	8	169	2	1	3	0.600585080226478	-0.18427251458348	0.496486789464138	FALSE
ENSG00000002587	HS3ST1	protein_coding	1.6117421207725	0.770683345162	2.03147225779261	0.784579028284725	2.09131562384251	0.8410587756105	1.03733231012953	0.992683321887299	0.770683345162	0.57073544433095	0.988956901553848	0.0202358169717113	2	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	4	11394774	11431389	-1	7642	3	3	0.422344113838041	2	169	2	1	1	0.689836785605251	1.06441081161173	0.00482263441413125	FALSE
ENSG00000002933	TMEM176A	protein_coding	6.96270067814	5.61790406507	4.96019164372998	15.5933216971837	1.23937692731911	1.34479661307	0.0892368981770221	11.2525028763926	5.62296916754	0.853593633766414	0.872857060199902	0.808372578552766	7	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	7	150497491	150502208	1	12209	9	9	0.013419210795845	4	169	3	1	2	0.255571523123127	0.309615015949078	0.0590568708982324	FALSE
ENSG00000003147	ICA1	protein_coding	4.91955161717	4.884154019725	0.439574397461261	3.99677497294845	1.00724743677248	0.0353975974449989	0.00899585554015597	5.98760004101277	4.91822211097	0.566975449966539	0.990930982718056	0.0522673505105596	3	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	7	8152814	8302317	-1	7342	5	5	0.0787714993416703	2	169	4	1	3	0.410762539084364	0.0104181341434119	0.00395659260705807	FALSE
ENSG00000003400	CASP10	protein_coding	5.13157127896	3.088183915435	3.0507495535486	1.71052731066368	1.66167929743821	2.043387363525	1.11764068679158	3.33445781071213	3.28255492416	0.0576943397555574	0.0335408279111394	0.355623616428913	3	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	2	202047604	202094129	1	24418	7	7	0.613253046391573	7	169	6	5	1	0.782500371593903	0.732641970170447	1.47442622161062	TRUE
ENSG00000003989	SLC7A2	protein_coding	3.853587176375	2.50908152918	2.49453900891052	10.2363277411512	1.53585570319606	1.344505647195	0.13276441414943	5.75993993207942	2.50908152918	0.669050051072523	0.647850647847809	0.728696961410609	2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	8	17354597	17428082	1	4412	2	2	0.399200471841118	1	169	1	1	0	0.673392243207421	0.619042678257995	0.188525102604024	FALSE
ENSG00000004139	SARM1	protein_coding	0.754229965776	0.895290759922	0.346008409381175	0.55348239375627	0.842441360437709	-0.141060794146	-0.25701796362515	0.897976318723098	0.895290759922	0.876404494382023	0.729325555417537	0.636993147725844	2	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	17	26691378	26728065	1	4772	2	2	0.437559433209957	1	169	1	1	0	0.694450494044616	-0.247351826337647	0.137078568581015	FALSE
ENSG00000004838	ZMYND10	protein_coding	6.9995022004825	1.36915225951	8.70453751636938	5.77375180447007	5.11228912041347	5.6303499409725	0.96911581394375	3.32470833713049	1.36915225951	0.687180796731359	0.497641879898598	0.0295639864472097	2	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	3	50378541	50384283	-1	3171	3	2	0.25968475531266	1	169	2	1	2	0.584767742257166	2.35396942877157	0.303083077988635	FALSE
ENSG00000005001	PRSS22	protein_coding	6.47897501535	6.36484095828	4.74330060870699	9.4848344306783	1.01793195742331	0.114134057069999	0.0122530697566339	8.91846708680215	6.36484095828	0.997876824706159	1	0.638091103383791	4	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	16	2902728	2908171	-1	14336	5	5	0.44999052003807	4	169	2	2	0	0.702849637449907	0.0256411292242726	0	FALSE
ENSG00000005020	SKAP2	protein_coding	1.97802781448	3.84176221629	2.98272144624053	4.05236643522369	0.514875128422234	-1.86373440181	-0.464269426692474	4.86561166639067	3.82744093746	0.550059878130394	0.657551416755412	0.404022660954682	3	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	7	26706681	27034858	-1	8960	9	9	0.00194116542135359	3	169	5	1	4	0.112978389791178	-0.957705513950961	0.182070282168865	FALSE
ENSG00000005448	WDR54	protein_coding	17.1867925335	8.5401265699	0.286500117931346	8.05485877504874	2.0124751539486	8.6466659636	1.07870963865104	11.1577403122738	8.75254898468	0.0694586312563837	0.117812119248839	0.0680785804703426	2	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	2	74648805	74652882	1	8064	3	3	0.456316935367773	2	169	3	2	1	0.707149014115457	1.00897097180047	0.9288100316867	FALSE
ENSG00000005884	ITGA3	protein_coding	8.4180885764	19.8078304505	9.8346780904875	26.1383398340136	0.424987915634522	-11.3897418741	-0.440039949602263	27.6317892401116	19.7252488453	0.2214610263816	0.155368646859433	0.37400008962799	3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	17	48133332	48167845	1	6964	4	4	0.170900208445173	2	169	3	1	2	0.508861563737684	-1.23450627552411	0.80863661661451	FALSE
