#ClearCell_3172_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/ClearCell_3172_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ClearCell_3172_IP.nodup.bam
#Using cutoff of 10392.3752 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3172_IP.nodup.bam	ClearCell_3172_Input.nodup.bam	enhancerRank	isSuper
67_Peak_29897_lociStitched	chr5	172139551	172366934	67	116035	192866.2606	29309.6687	1	1
50_Peak_21812_lociStitched	chr2	43297995	43468305	50	84249	165013.359	22497.951	2	1
37_Peak_8293_lociStitched	chr2	20638916	20746572	37	64581	150955.2432	14285.9512	3	1
40_Peak_16130_lociStitched	chr2	28539606	28677362	40	69478	140428.4664	17825.6264	4	1
12_Peak_89128_lociStitched	chr22	50323033	50364870	12	36176	122586.5937	5794.4245	5	1
38_Peak_40944_lociStitched	chr8	134214892	134316778	38	61280	133093.6818	20000.2218	6	1
27_Peak_2428_lociStitched	chr9	132164520	132270294	27	67608	115198.4634	8493.6522	7	1
32_Peak_6188_lociStitched	chr2	113938948	114047248	32	64991	116195.07	14555.52	8	1
40_Peak_40176_lociStitched	chr17	36030172	36163330	40	53146	120188.4108	22796.6496	9	1
44_Peak_25264_lociStitched	chr10	82169802	82290605	44	71695	111960.2204	15631.9082	10	1
64_Peak_13311_lociStitched	chr10	6237105	6390720	64	82669	117960.9585	22903.9965	11	1
30_Peak_4517_lociStitched	chr17	48960889	49032573	30	47858	101769.7748	11455.1032	12	1
42_Peak_55732_lociStitched	chr14	77412272	77556031	42	64433	104527.1689	15008.4396	13	1
68_Peak_47192_lociStitched	chr14	61927642	62089658	68	78632	106719.9392	18421.2192	14	1
16_Peak_28041_lociStitched	chr14	69213840	69291844	16	40345	91732.704	8408.8312	15	1
23_Peak_18809_lociStitched	chr8	134330878	134392377	23	38494	88324.8638	11838.5575	16	1
27_Peak_48850_lociStitched	chr20	60880936	60958224	27	45785	83208.2608	8022.4944	17	1
35_Peak_11099_lociStitched	chr18	11919888	12046433	35	46104	91542.653	18273.098	18	1
44_Peak_22990_lociStitched	chr10	80807803	80963035	44	61529	89894.8512	18317.376	19	1
64_Peak_58168_lociStitched	chr22	36697462	36864266	64	62273	92959.8692	22335.0556	20	1
Peak_53	chr17	46680972	46698426	1	17455	71910.48	2621.5908	21	1
30_Peak_62952_lociStitched	chr20	45939220	46020985	30	46365	78347.223	10441.3905	22	1
31_Peak_22294_lociStitched	chr9	33106880	33187331	31	45768	75004.4673	11094.1929	23	1
50_Peak_12233_lociStitched	chr6	7100973	7292850	50	51171	87726.1644	24023.0004	24	1
60_Peak_73779_lociStitched	chr12	124906550	125122579	60	50595	91142.6351	28688.6512	25	1
30_Peak_74873_lociStitched	chr12	125299364	125425882	30	35951	80060.5904	17623.9574	26	1
19_Peak_41026_lociStitched	chr17	43220741	43284060	19	23822	72424.2722	10308.3332	27	1
12_Peak_17482_lociStitched	chr11	118738800	118801787	12	33287	68095.2457	6040.4533	28	1
45_Peak_41205_lociStitched	chr22	38609843	38715643	45	51000	76218.32	14484.02	29	1
Peak_127	chr8	145005314	145019012	1	13699	62084.8152	2702.6154	30	1
34_Peak_8423_lociStitched	chr3	14443433	14533506	34	57468	66572.9543	9349.5774	31	1
43_Peak_46433_lociStitched	chr17	58582692	58660387	43	38943	69669.1065	12547.7425	32	1
24_Peak_18800_lociStitched	chr22	45819430	45914342	24	37958	70624.0192	13638.8544	33	1
39_Peak_24428_lociStitched	chr2	69947901	70043310	39	41396	68999.7888	12565.3653	34	1
21_Peak_85769_lociStitched	chr5	1048866	1141014	21	27149	66696.7224	11260.4856	35	1
20_Peak_19124_lociStitched	chr12	52509719	52580689	20	28995	64029.134	10170.001	36	1
29_Peak_269_lociStitched	chr3	134027460	134101423	29	50793	63844.8616	10776.4091	37	1
16_Peak_89515_lociStitched	chr8	101472043	101523055	16	30848	62775.3672	10064.6676	38	1
39_Peak_25008_lociStitched	chr5	95115054	95201222	39	42551	64686.3176	12089.3704	39	1
28_Peak_19895_lociStitched	chr17	25853688	25937685	28	42213	63501.732	11087.604	40	1
32_Peak_45932_lociStitched	chr2	43122784	43213613	32	45307	63907.2844	11807.77	41	1
30_Peak_41153_lociStitched	chr6	6677411	6760225	30	40319	62773.012	11130.2016	42	1
13_Peak_42830_lociStitched	chr7	5434107	5486218	13	22310	56378.8909	4929.7006	43	1
19_Peak_28314_lociStitched	chr6	39136949	39197409	19	42745	58634.108	7436.58	44	1
38_Peak_19435_lociStitched	chr15	93340757	93438245	38	34310	63084.4848	12078.7632	45	1
27_Peak_23333_lociStitched	chr8	74185183	74253294	27	26172	63602.0518	12832.1124	46	1
36_Peak_76863_lociStitched	chr5	150382406	150479921	36	34907	64028.349	13271.7915	47	1
28_Peak_112266_lociStitched	chr2	20763058	20842336	28	36153	60600.1032	9917.6778	48	1
Peak_6	chr12	122223339	122240409	1	17071	53075.751	2406.87	49	1
55_Peak_56304_lociStitched	chr13	40638372	40765000	55	52800	62187.0108	11776.404	50	1
19_Peak_36532_lociStitched	chr8	103733084	103823238	19	29594	66290.2362	15921.1964	51	1
31_Peak_17539_lociStitched	chr10	95168384	95239514	31	37872	60247.11	10114.686	52	1
23_Peak_57150_lociStitched	chr1	40385371	40456378	23	40224	60483.7626	10530.3381	53	1
20_Peak_29810_lociStitched	chr19	30295646	30373834	20	32819	57280.5288	7537.3232	54	1
37_Peak_34102_lociStitched	chr6	158131582	158277121	37	32733	68345.1144	18774.531	55	1
41_Peak_35368_lociStitched	chr17	57828727	57935465	41	33713	64843.335	15370.272	56	1
15_Peak_23228_lociStitched	chr17	34198274	34245765	15	28174	57335.8843	8291.9286	57	1
