ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust
ENSG00000001460	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	STPG1	1	24683489	24743424	-1	4565	2	1	0.31016604534925	0	28	2	1	1	0.463444542777148
ENSG00000001461	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	NIPAL3	1	24742284	24799466	1	1774	1	1	0.134365233857082	0	28	1	1	0	0.399333278908961
ENSG00000001617	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	SEMA3F	3	50192478	50226508	1	25580	3	3	0.289343999258501	2	28	1	1	0	0.449564377495593
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	6541	1	1	0.412586735842462	0	28	1	1	0	0.511990463438801
ENSG00000002933	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	TMEM176A	7	150497491	150502208	1	10186	3	3	0.0402567895528576	1	28	2	1	1	0.280093756467827
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	9422	2	2	0.165834709222462	1	28	1	1	0	0.402439049235018
ENSG00000004455	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	AK2	1	33473585	33546597	-1	7678	1	1	0.4644746681389	0	28	1	1	0	0.543671957397972
ENSG00000004660	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	CAMKK1	17	3763609	3798185	-1	12777	3	2	0.259791502643051	1	28	2	1	1	0.434103495659342
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	PRSS22	16	2902728	2908171	-1	14336	2	1	0.688404752758931	1	28	2	2	1	0.710873971273768
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	8822	4	2	0.149680382255246	1	28	3	2	1	0.401146059243344
ENSG00000005448	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	WDR54	2	74648805	74652882	1	6963	2	2	0.102130060432911	0	28	2	2	1	0.366693950534613
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	4762	1	1	0.321131465023278	0	28	1	1	0	0.467018045611491
ENSG00000006007	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	GDE1	16	19513015	19533467	-1	10487	2	2	0.195161747906907	1	28	1	1	0	0.412427972585458
ENSG00000006015	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	C19orf60	19	18699495	18703146	1	11232	1	1	0.598914045137203	1	28	1	1	0	0.641525692117033
ENSG00000006282	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	SPATA20	17	48620419	48633213	1	15622	3	2	0.340123454593793	1	28	1	1	0	0.473454397167661
ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	DLX6	7	96634860	96640351	1	11801	1	1	0.617053656484795	1	28	1	1	0	0.65516932495443
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	2711	1	1	0.19788650939036	0	28	1	1	0	0.414722768567105
ENSG00000006459	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	KDM7A	7	139784546	139876835	-1	9604	2	2	0.170793085287438	1	28	2	2	0	0.405262288241823
ENSG00000006534	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	ALDH3B1	11	67776048	67796744	1	21324	3	3	0.207249454188474	1	28	1	1	0	0.416598120159704
ENSG00000007341	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	ST7L	1	113066140	113163447	-1	6562	5	4	0.00127133052367201	0	28	3	1	2	0.106742866660615
ENSG00000007384	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	RHBDF1	16	108058	126354	-1	10544	2	1	0.575829390620781	1	28	2	2	0	0.623220406408113
ENSG00000007392	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	LUC7L	16	238968	279462	-1	19662	3	3	0.176740590266689	1	28	3	3	0	0.406526731679756
ENSG00000007516	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	BAIAP3	16	1383602	1399439	1	4769	2	2	0.0534276175359147	0	28	1	1	0	0.292706052468487
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	PIGQ	16	616995	634136	1	32962	6	4	0.197576975268227	2	28	5	4	1	0.414721670202442
ENSG00000007545	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	CRAMP1L	16	1662326	1727909	1	29053	8	5	0.0447691343879641	2	28	5	3	2	0.284304375155613
ENSG00000007866	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	TEAD3	6	35441374	35464853	-1	21291	4	4	0.0631469386381686	1	28	4	3	1	0.306899757424653
