REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20160213_ClearCell_241_IP.nodup.bam	X20160213_ClearCell_241_INPUT.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
43_Peak_48006_lociStitched	chr17	76242867	76418881	43	113725	201060.7922	21051.2744	1	SOCS3,PGS1	BIRC5,EPR1,LOC283999	SOCS3	1	1	ENSG00000184557	SOCS3	54.9015144409157	1
50_Peak_46808_lociStitched	chr5	172141099	172382945	50	111065	181287.7616	27691.367	2	LOC100268168,ERGIC1,DUSP1	RPL26L1,ATP6V0E1	ERGIC1	2	1	ENSG00000113719	ERGIC1	182.15930024593	1
60_Peak_67368_lociStitched	chr2	43384482	43577781	60	86394	121159.8132	22673.9727	3	THADA,LOC100129726,ZFP36L2		LOC100129726	3	1	ENSG00000152518	ZFP36L2	193.662045632807	1
46_Peak_35499_lociStitched	chr14	61928783	62088898	46	91736	115042.6275	19085.708	4	PRKCH		HIF1A	4	1	ENSG00000100644	HIF1A	92.9118427972965	1
33_Peak_33567_lociStitched	chr17	57829124	57936837	33	76168	106474.3005	11913.0578	5	MIR21,TMEM49	PTRH2,RPS6KB1,TUBD1	MIR21	5	1	ENSG00000199004	NA	0.639508359319616	1
55_Peak_12885_lociStitched	chr2	102621348	102799087	55	95149	111691.1876	19355.7771	6	IL1R2,IL1R1	IL1RL2	IL1R1	6	1	ENSG00000115594	IL1R1	37.3569620783029	1
36_Peak_129968_lociStitched	chr1	234976986	235153897	36	73487	110781.6682	21494.6865	7			SNORA14B	7	1	ENSG00000238005		0.488103006042658	1
53_Peak_4224_lociStitched	chr17	75280416	75469980	53	88785	109530.0792	21856.7292	8	SEPT9,MIR4316	SEPT9	SEPT9	8	1	ENSG00000184640	SEPT9	174.507218347983	1
48_Peak_57256_lociStitched	chr1	19696970	19841706	48	86393	98087.5872	15790.6976	9	CAPZB		CAPZB	9	1	ENSG00000077549	CAPZB	98.7623344479686	1
7_Peak_74688_lociStitched	chr11	65237939	65289520	7	35765	86475.5465	5973.0798	10	MALAT1	SCYL1,LTBP3,SSSCA1,MIR612,NEAT1	MALAT1	10	1	ENSG00000251562	MALAT1	20699.8595193961	1
41_Peak_44217_lociStitched	chr17	38576036	38718176	41	76899	91552.374	15450.618	11	IGFBP4,TNS4,CCR7	TOP2A	TNS4	11	1	ENSG00000141753	IGFBP4	49.4739025384385	1
