ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters
ENSG00000001084	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	GCLC	6	53362139	53481768	-1	10531	20	17	0.449206093467353	16	107	7	1	6
ENSG00000001460	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	STPG1	1	24683489	24743424	-1	19762	20	14	0.99977354479682	26	107	7	4	4
ENSG00000001461	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	NIPAL3	1	24742284	24799466	1	15898	24	18	0.906648312187482	22	107	4	3	2
ENSG00000001617	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	SEMA3F	3	50192478	50226508	1	27782	94	43	0.0081465041919937	33	107	3	1	5
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	8743	26	24	0.00205681226216536	14	107	3	1	2
ENSG00000002822	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	protein_coding	MAD1L1	7	1855429	2272878	-1	14765	24	18	0.839224119424327	21	107	11	1	10
ENSG00000002919	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	SNX11	17	46180719	46200436	1	6024	12	9	0.700142076701571	10	107	4	1	3
ENSG00000002933	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	TMEM176A	7	150497491	150502208	1	13340	68	35	3.14226468698386e-05	19	107	3	1	2
ENSG00000003147	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	ICA1	7	8152814	8302317	-1	14075	34	25	0.121475884982108	20	107	9	1	8
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	34193	67	38	0.47448827999444	37	107	7	6	3
ENSG00000003989	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	SLC7A2	8	17354597	17428082	1	5513	6	5	0.969220346668408	9	107	2	1	1
ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	SARM1	17	26691378	26728065	1	10209	15	9	0.989844931911043	16	107	5	1	4
ENSG00000004660	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	CAMKK1	17	3763609	3798185	-1	14995	23	15	0.974027757458475	21	107	4	1	3
ENSG00000004838	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	ZMYND10	3	50378541	50384283	-1	4303	4	4	0.95301765532441	7	107	2	1	1
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	PRSS22	16	2902728	2908171	-1	16563	57	34	0.00287205999747231	23	107	3	2	3
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	12416	36	23	0.121510963620811	18	107	7	1	6
ENSG00000005379	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	BZRAP1	17	56378592	56406152	-1	10506	17	14	0.782119234184938	16	107	5	1	4
ENSG00000005448	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	WDR54	2	74648805	74652882	1	6963	7	6	0.983791897192697	11	107	2	2	1
ENSG00000005801	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]	protein_coding	ZNF195	11	3360491	3400448	-1	12327	32	22	0.178513039139447	18	107	8	1	7
ENSG00000005882	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	PDK2	17	48172101	48189516	1	6603	13	9	0.792337866271289	11	107	4	0	4
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	11646	27	22	0.123099465730281	17	107	6	1	5
ENSG00000005961	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	ITGA2B	17	42449548	42466873	-1	8151	16	13	0.5601539133406	13	107	5	2	4
ENSG00000006007	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	GDE1	16	19513015	19533467	-1	26496	92	46	0.000372006728083574	32	107	5	3	2
ENSG00000006015	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	C19orf60	19	18699495	18703146	1	15642	21	16	0.9664952564312	22	107	2	2	0
ENSG00000006025	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	OSBPL7	17	45884738	45899200	-1	8033	15	13	0.539591372127067	13	107	3	1	3
ENSG00000006042	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	TMEM98	17	31254928	31272124	1	6092	10	8	0.825292387216605	10	107	3	1	2
ENSG00000006047	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	YBX2	17	7191571	7197934	-1	8768	19	17	0.202101386558878	14	107	2	1	2
