REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3588_IP.nodup.bam	ClearCell_3588_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
151_Peak_29893_lociStitched	chr12	124779770	125123753	151	149989	201539.6397	46678.4931	1	NCOR2,FAM101A	NCOR2	NCOR2	1	1	ENSG00000196498	NCOR2	120.453952827208	1
254_Peak_146106_lociStitched	chr16	85159649	85708490	254	194318	197253.4554	45114.7302	2	KIAA0182,LOC400548	GINS2,FAM92B	KIAA0182	2	1	ENSG00000260417		1.43083082725017	1
103_Peak_86786_lociStitched	chr7	447517	684848	103	116208	155879.0008	29001.8482	3	FLJ44511,PRKAR1B,PDGFA	LOC442497	FLJ44511	3	1	ENSG00000197461	PDGFA	34.6575544115253	1
103_Peak_37657_lociStitched	chr17	75266014	75499595	103	116130	155308.0069	28870.6116	4	SEPT9,MIR4316		MIR4316	4	1	ENSG00000184640	SEPT9	174.507218347983	1
119_Peak_11348_lociStitched	chr10	80826188	81103510	119	113993	157934.879	35136.6974	5	ZMIZ1,LOC283050	LOC283050,PPIF	ZMIZ1	5	1	ENSG00000108175	ZMIZ1	48.9931996842572	1
173_Peak_52096_lociStitched	chr8	143055813	143509470	173	125944	176109.6474	55618.3482	6	NCRNA00051,TSNARE1	BAI1	NCRNA00051	6	1	ENSG00000171045	TSNARE1	11.0895486198098	1
48_Peak_13622_lociStitched	chr3	13805751	13937776	48	63751	142494.5825	23276.0075	7	WNT7A	LOC100132526,TPRXL	WNT7A	7	1	ENSG00000154764	WNT7A	13.8217038520678	1
48_Peak_2678_lociStitched	chr9	132143302	132269868	48	73330	124414.378	10922.6458	8			C9orf106	8	1	ENSG00000204054	LINC00963	118.640444822809	2
125_Peak_153144_lociStitched	chr9	137098383	137445214	125	129771	127148.2446	27642.4307	9	RXRA		RXRA	9	1	ENSG00000186350	RXRA	39.5523194205565	1
84_Peak_23584_lociStitched	chr20	48830263	49052832	84	82345	129802.2408	33340.8362	10	LOC284751	CEBPB	LOC284751	10	1	ENSG00000203999	LINC01270	1.24776169183899	1
121_Peak_105032_lociStitched	chr3	14317140	14647008	121	88826	150353.8344	55846.6524	11	SLC6A6,GRIP2	C3orf19	SLC6A6	11	1	ENSG00000131389	SLC6A6	40.2334745792865	1
59_Peak_35750_lociStitched	chr22	38600658	38751899	59	78272	107759.2125	16258.4075	12	TMEM184B,MAFF,CSNK1E,LOC400927	PLA2G6,MAFF	TMEM184B	12	1	ENSG00000198792	TMEM184B	50.4379830014871	1
145_Peak_158287_lociStitched	chr7	1881918	2213339	145	111185	127133.0956	39737.3779	13	MAD1L1		MAD1L1	13	1	ENSG00000002822	MAD1L1	20.257914478932	1
59_Peak_61413_lociStitched	chr14	77376408	77534840	59	59269	101396.48	17126.4992	14	C14orf4	KIAA1737	C14orf4	14	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
42_Peak_27737_lociStitched	chr7	75863937	75978163	42	45953	95824.1914	16288.6276	15	HSPB1,YWHAG,SRRM3	ZP3	HSPB1	15	1	ENSG00000106211	HSPB1	204.112526233261	1
66_Peak_79123_lociStitched	chr17	76840036	77003229	66	68670	98682.8071	21149.8128	16	CANT1,TIMP2,LGALS3BP	C1QTNF1,USP36	TIMP2	16	1	ENSG00000108679	LGALS3BP	211.87120738607	1
70_Peak_121829_lociStitched	chr7	73831522	74034143	70	52836	101411.8105	28711.3957	17	GTF2IRD1	GTF2I	GTF2IRD1	17	1	ENSG00000006704	GTF2IRD1	28.601347575071	1
30_Peak_75741_lociStitched	chr3	13657849	13739381	30	40045	86423.92	13868.5932	18	LOC285375,FBLN2		LOC285375	18	1	ENSG00000163520	FBLN2	1.61267325393642	2
54_Peak_81153_lociStitched	chr17	71271242	71437287	54	50744	92088.557	20340.5125	19	CDC42EP4,SDK2	C17orf80,FAM104A,CPSF4L	CDC42EP4	19	1	ENSG00000179604	CDC42EP4	44.1146933366132	1
Peak_677	chr8	145005634	145029625	1	23992	74919.0948	3517.0806	20	PLEC,MIR661	GRINA,PARP10	PLEC	20	1	ENSG00000178209	PLEC	392.892195636502	1
80_Peak_67178_lociStitched	chr22	42663029	42849293	80	66579	92070.2952	21569.3712	21	LOC388906,NFAM1	SERHL	NFAM1	21	1	ENSG00000235568	NFAM1	3.04346580238363	1
