REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_630_IP.nodup.bam	Endometrioid_630_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
19_Peak_77924_lociStitched	chr12	6276108	6406073	19	72519	200003.1385	18312.0685	1	CD9	PLEKHG6,TNFRSF1A,VWF	CD9	1	1	ENSG00000010278	CD9	57.4919348287287	1
20_Peak_105_lociStitched	chr9	132143553	132265767	20	73787	179703.4656	12453.6066	2			C9orf106	2	1	ENSG00000204054	LINC00963	118.640444822809	2
40_Peak_26923_lociStitched	chr2	28807094	28944275	40	92962	180859.4304	15556.3254	3	PLB1	PPP1CB	PPP1CB	3	1	ENSG00000213639	PPP1CB	240.855257443272	1
5_Peak_67854_lociStitched	chr8	145002894	145052088	5	36238	172213.4358	9705.9762	4	PLEC,PARP10,MIR661	GRINA,SPATC1	PLEC	4	1	ENSG00000178209	PLEC	392.892195636502	1
43_Peak_76436_lociStitched	chr5	172141893	172334304	43	95359	169263.9567	21242.1744	5	ERGIC1,DUSP1		ERGIC1	5	1	ENSG00000113719	ERGIC1	182.15930024593	1
17_Peak_164_lociStitched	chr1	201975401	202104381	17	65165	140381.832	12756.122	6	ARL8A,ELF3,GPR37L1	RNPEP,PTPN7,ELF3,PTPRVP	GPR37L1	6	1	ENSG00000163435	ELF3	243.043030111608	1
25_Peak_81645_lociStitched	chr19	9110855	9190983	25	58607	127155.1232	11073.6896	7		OR1M1,MUC16,OR7G2,OR7G3,OR7G1	OR1M1	7	1	ENSG00000181143	MUC16	357.528755362012	3
21_Peak_39146_lociStitched	chr22	36717226	36815906	21	69479	125451.884	10400.872	8	MYH9		MYH9	8	1	ENSG00000100345	MYH9	465.858773555724	1
30_Peak_75171_lociStitched	chr2	43382635	43504823	30	61886	126207.9852	13697.2748	9	THADA,LOC100129726,ZFP36L2		ZFP36L2	9	1	ENSG00000152518	ZFP36L2	193.662045632807	1
11_Peak_56052_lociStitched	chr9	132308853	132376529	11	53645	114792.0312	6950.3252	10	C9orf50	ASB6,METTL11A	C9orf50	10	1	ENSG00000179058	C9orf50	0.889035543360276	1
26_Peak_50561_lociStitched	chr10	82170449	82290898	26	72661	117425.7301	13345.7492	11	C10orf58,TSPAN14	SH2D4B	TSPAN14	11	1	ENSG00000108219	TSPAN14	118.962602892749	1
31_Peak_47833_lociStitched	chr10	73980111	74108908	31	67072	116831.7587	13871.4369	12	DDIT4,DNAJB12,ANAPC16	ASCC1,DNAJB12	DDIT4	12	1	ENSG00000168209	DDIT4	40.8140812876661	1
