seqnames	start	end	width	strand	nj	nSNV	nSamples	p.value	p.adjust
chr1	858760	861289	2530	*	2530	2	2	0.0182952522668672	0.253650932488231
chr1	1002576	1006405	3830	*	3830	2	2	0.0391413826059457	0.253650932488231
chr1	1057481	1058224	744	*	744	1	1	0.0611655160603004	0.253650932488231
chr1	1063707	1064612	906	*	906	1	1	0.0739796811561839	0.253650932488231
chr1	1067295	1069490	2196	*	2196	1	1	0.169970674746734	0.253650932488231
chr1	1096460	1102869	6410	*	6410	1	1	0.419451764449689	0.425646199789663
chr1	1166075	1168583	2509	*	2509	1	1	0.191720298993598	0.254585534407146
chr1	1259313	1261725	2413	*	2413	1	1	0.185110782920501	0.254554738795704
chr1	1281336	1285048	3713	*	3713	1	1	0.270201335261273	0.296481805240024
chr1	1364755	1374088	9334	*	9334	2	2	0.175035174553797	0.253650932488231
chr1	1688849	1691729	2881	*	2881	1	1	0.216829737427726	0.262369122398605
chr1	2063322	2065962	2641	*	2641	1	1	0.200720938394978	0.256611891121916
chr1	2124465	2127973	3509	*	3509	1	1	0.257461502856926	0.286785012971788
chr1	2137978	2141021	3044	*	3044	1	1	0.22758476879868	0.268244823282204
chr1	2159868	2164900	5033	*	5033	2	2	0.0634619401867962	0.253650932488231
chr1	2206179	2207170	992	*	992	1	1	0.080711040924635	0.253650932488231
chr1	2220965	2223410	2446	*	2446	1	1	0.187388878054923	0.254554738795704
chr1	2230272	2231147	876	*	876	1	1	0.071619954835641	0.253650932488231
chr1	2252169	2254972	2804	*	2804	1	1	0.211697186846336	0.260002278459601
chr1	2477465	2481817	4353	*	4353	1	1	0.308768154637473	0.326542535715944
chr1	2486094	2489930	3837	*	3837	1	1	0.277838103537823	0.301485111939832
chr1	2508278	2510879	2602	*	2602	1	1	0.198072140747768	0.255949021976072
chr1	3339138	3340389	1252	*	1252	1	1	0.100765536975996	0.253650932488231
chr1	3374186	3375499	1314	*	1314	1	1	0.105482800274624	0.253650932488231
chr1	3376000	3378623	2624	*	2624	1	1	0.199567411655429	0.256202578139433
chr1	3711875	3713856	1982	*	1982	1	1	0.154764413392471	0.253650932488231
chr1	3815735	3818600	2866	*	2866	1	1	0.215832517598884	0.261799598949037
chr1	6410014	6410730	717	*	717	1	1	0.0590126481875982	0.253650932488231
chr1	6418231	6420853	2623	*	2623	1	1	0.19949950532043	0.256202578139433
chr1	6444965	6447066	2102	*	2102	1	1	0.163325274309228	0.253650932488231
chr1	6474359	6475392	1034	*	1034	1	1	0.0839806435680329	0.253650932488231
chr1	6481483	6489010	7528	*	7528	1	1	0.471982673617974	0.475804404386279
