#Endometrioid_381_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Endometrioid_381_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Endometrioid_381_IP.nodup.bam
#Using cutoff of 10895.88 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_381_IP.nodup.bam	Endometrioid_381_Input.nodup.bam	enhancerRank	isSuper
45_Peak_22_lociStitched	chr9	132140542	132287665	45	98472	217962.7245	13093.947	1	1
64_Peak_22445_lociStitched	chr17	75279881	75500776	64	136784	199203.111	19902.6395	2	1
99_Peak_39829_lociStitched	chr5	172073911	172379064	99	131226	203598.0816	29752.4175	3	1
123_Peak_47766_lociStitched	chr2	43130234	43506380	123	143793	198153.7128	34793.505	4	1
34_Peak_4917_lociStitched	chr2	232461889	232583826	34	62319	156493.9458	11145.0418	5	1
71_Peak_26990_lociStitched	chr14	77370502	77591923	71	82205	146093.5758	20060.7426	6	1
38_Peak_41890_lociStitched	chr9	130247444	130371055	38	70967	133648.2132	11335.1287	7	1
37_Peak_5083_lociStitched	chr17	55937464	56043676	37	69657	130725.7296	9760.8828	8	1
45_Peak_1649_lociStitched	chr10	73979860	74108502	45	67345	128384.716	11564.9158	9	1
Peak_570	chr19	1243463	1272539	1	29077	118696.9548	2747.682	10	1
65_Peak_140883_lociStitched	chr7	73807273	74087506	65	88415	138294.9855	24212.1312	11	1
77_Peak_51704_lociStitched	chr18	46345007	46553408	77	97474	131834.4726	19318.7727	12	1
136_Peak_14918_lociStitched	chr16	81465221	81808461	136	134426	144263.772	31955.644	13	1
Peak_678	chr14	105930844	105958221	1	27378	112426.3882	2480.3562	14	1
9_Peak_44612_lociStitched	chr22	50315053	50364897	9	43759	111326.574	4605.5856	15	1
Peak_405	chr8	145005576	145033022	1	27447	106597.5194	2730.877	16	1
51_Peak_91680_lociStitched	chr7	5367451	5547064	51	56807	115527.0816	15787.9827	17	1
29_Peak_123726_lociStitched	chr12	52509737	52611456	29	69397	104150.0841	9419.1794	18	1
65_Peak_19369_lociStitched	chr2	28496111	28677374	65	64801	109754.7465	17364.9954	19	1
106_Peak_84085_lociStitched	chr16	89300278	89576458	106	90485	115885.128	24193.368	20	1
14_Peak_29582_lociStitched	chr11	118740214	118812328	14	33722	97779.3726	6418.146	21	1
95_Peak_39439_lociStitched	chr7	448635	714769	95	99591	111456.9192	21956.055	22	1
26_Peak_81455_lociStitched	chr17	2249385	2325460	26	38823	96219.66	7006.5075	23	1
32_Peak_79048_lociStitched	chr1	205395851	205515554	32	48157	104321.1645	16770.3903	24	1
49_Peak_58502_lociStitched	chr5	139013048	139168895	49	71563	100116.1128	13714.536	25	1
103_Peak_73261_lociStitched	chr2	218653476	218897897	103	111126	107080.8401	22340.0794	26	1
88_Peak_108581_lociStitched	chr9	137208157	137449365	88	123097	103840.044	20888.6128	27	1
102_Peak_36924_lociStitched	chr19	4913367	5155429	102	101987	101666.04	20817.332	28	1
65_Peak_142364_lociStitched	chr3	14364600	14535482	65	86031	95830.6256	16609.7304	29	1
54_Peak_14658_lociStitched	chr1	22140583	22299292	54	67592	92035.3491	13268.0724	30	1
21_Peak_116090_lociStitched	chr9	132308917	132378018	21	51821	83245.9747	6260.5506	31	1
84_Peak_124431_lociStitched	chr14	93398522	93644131	84	87080	98808.5007	22055.6882	32	1
83_Peak_66505_lociStitched	chr13	114739884	114951152	83	87525	91626.9316	16922.5668	33	1
34_Peak_14177_lociStitched	chr16	70680401	70825661	34	66047	88114.716	13959.486	34	1
56_Peak_18965_lociStitched	chr21	45533025	45671936	56	68640	86110.9289	12515.8811	35	1
36_Peak_147102_lociStitched	chr20	45923841	46013565	36	44761	81738.564	8505.8352	36	1
11_Peak_169718_lociStitched	chr1	226270474	226325512	11	24762	79975.7178	7716.3276	37	1
63_Peak_245037_lociStitched	chr17	16884326	17131669	63	69519	94559.2289	22384.5415	38	1
19_Peak_113886_lociStitched	chr1	235089901	235159568	19	33695	82757.4293	10735.6847	39	1
73_Peak_117286_lociStitched	chr1	15235926	15429870	73	75915	88031.1816	17435.5656	40	1
84_Peak_21266_lociStitched	chr9	136639420	136880070	84	85207	90388.14	20046.145	41	1
50_Peak_22642_lociStitched	chr2	28805477	28942058	50	60581	83027.5899	13384.938	42	1
52_Peak_29674_lociStitched	chr1	21543773	21683051	52	57318	82396.8648	12841.4316	43	1
40_Peak_3069_lociStitched	chr2	113953470	114049199	40	49110	78622.2277	9582.4729	44	1
51_Peak_123129_lociStitched	chr11	69910115	70059069	51	62697	81537.4196	13003.6842	45	1
58_Peak_31859_lociStitched	chr22	23520421	23656646	58	64326	80277.3925	12287.495	46	1
66_Peak_169101_lociStitched	chr9	37911352	38070693	66	74881	83606.2227	15631.3521	47	1
25_Peak_118143_lociStitched	chr14	74184018	74271752	25	43673	76425.0874	8711.9862	48	1
16_Peak_51403_lociStitched	chr15	96864019	96904709	16	26663	71284.811	3820.791	49	1
39_Peak_48353_lociStitched	chr9	127003547	127120623	39	62759	78417.5048	11251.0036	50	1
35_Peak_37195_lociStitched	chr7	5565363	5682597	35	43598	77644.0782	10539.3366	51	1
Peak_834	chr1	156081992	156101121	1	19130	69354.1024	2637.8891	52	1
38_Peak_10557_lociStitched	chr7	769782	880234	38	55877	76123.5184	9730.8212	53	1
43_Peak_27846_lociStitched	chr1	10673796	10800016	43	65789	76363.1	10968.518	54	1
