#HG_Serous_550_IP Enhancers
#Created from /media/Data01/Marcos/MTF/histologies/RoseRes/HG_Serous_550_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HG_Serous_550_IP.nodup.bam
#Using cutoff of 6146.2695 for Super-Enhancers
#Created on Oct 25 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HG_Serous_550_IP.nodup.bam	HG_Serous_550_Input.nodup.bam	enhancerRank	isSuper
24_Peak_1441_lociStitched	chr5	131744985	131837089	24	52837	90869.8064	10859.0616	1	1
29_Peak_20331_lociStitched	chr1	118148675	118230533	29	43675	61778.2326	10420.5234	2	1
12_Peak_2816_lociStitched	chr1	203236554	203297647	12	29991	55997.8438	7263.9577	3	1
68_Peak_25218_lociStitched	chr14	22943761	23039280	68	64837	54770.5946	9876.6646	4	1
26_Peak_102127_lociStitched	chr4	185264530	185400759	26	30874	60976.1004	16252.1197	5	1
27_Peak_8351_lociStitched	chr14	91782098	91885446	27	39060	54009.6648	12412.0948	6	1
12_Peak_74036_lociStitched	chr11	65171171	65209524	12	17466	45003.4102	4153.6299	7	1
22_Peak_50342_lociStitched	chr16	81817048	81876766	22	35904	47332.4868	6825.7674	8	1
6_Peak_8_lociStitched	chr12	12866238	12902737	6	15143	43849.8986	3930.9423	9	1
39_Peak_9094_lociStitched	chr10	126325127	126438266	39	38223	53989.9308	14266.8279	10	1
3_Peak_436_lociStitched	chr1	150532559	150553218	3	20345	41817.9478	2567.9137	11	1
19_Peak_68306_lociStitched	chr3	141079914	141133908	19	32281	45138.984	6014.9316	12	1
3_Peak_1202_lociStitched	chr1	234734161	234750018	3	15516	38876.6069	1590.4571	13	1
4_Peak_313_lociStitched	chr2	201979987	201999194	4	17493	39241.8217	2366.3024	14	1
13_Peak_16938_lociStitched	chr11	65238612	65276495	13	25883	40856.8155	4242.896	15	1
14_Peak_4362_lociStitched	chr17	75419059	75468960	14	27612	42071.5331	6427.2488	16	1
27_Peak_16633_lociStitched	chr7	55572126	55641310	27	34167	43779.6352	8163.712	17	1
9_Peak_39387_lociStitched	chr14	69245756	69283919	9	18269	38716.3635	4373.4798	18	1
5_Peak_40911_lociStitched	chr19	12888446	12907046	5	15783	36327.66	2265.48	19	1
29_Peak_72515_lociStitched	chr22	23199917	23286632	29	35719	43080.012	9061.7175	20	1
36_Peak_16454_lociStitched	chr14	70078293	70194208	36	33034	46829.66	13631.604	21	1
28_Peak_51424_lociStitched	chr14	65748591	65837751	28	33760	41682.3	9852.18	22	1
19_Peak_39796_lociStitched	chr4	40185429	40249713	19	25439	37843.9908	6589.11	23	1
19_Peak_10916_lociStitched	chr10	104361755	104436846	19	20971	39850.7937	8710.556	24	1
10_Peak_40737_lociStitched	chr15	89164489	89200673	10	16277	35217.8872	4414.448	25	1
5_Peak_105_lociStitched	chr2	43439922	43479125	5	12831	34800.5031	4257.4458	26	1
17_Peak_20489_lociStitched	chr19	2031884	2093974	17	23276	37949.408	7599.816	27	1
20_Peak_21786_lociStitched	chr22	29183380	29223589	20	23912	35078.3316	4760.7456	28	1
5_Peak_73700_lociStitched	chr1	156450730	156479054	5	21249	33716.8896	3551.8296	29	1
7_Peak_602_lociStitched	chr19	13260354	13287717	7	15309	32816.4459	3193.2621	30	1
6_Peak_2_lociStitched	chr15	45002026	45024000	6	16384	32053.4738	2443.5088	31	1
4_Peak_27263_lociStitched	chr12	125389052	125425995	4	14723	33300.4202	3945.5124	32	1
7_Peak_15009_lociStitched	chr9	134127444	134153917	7	17661	32490.3129	3301.1831	33	1
26_Peak_10453_lociStitched	chr3	32435460	32509468	26	27953	36966.996	8192.6856	34	1
16_Peak_41686_lociStitched	chr17	74476200	74527274	16	18801	34730.32	6169.7392	35	1
13_Peak_25056_lociStitched	chr6	106531299	106594349	13	19148	35629.555	7313.8	36	1
13_Peak_56837_lociStitched	chr1	28185539	28219906	13	20202	32329.0369	4062.1794	37	1
4_Peak_5876_lociStitched	chr19	39888200	39902956	4	12743	30189.3004	1953.6944	38	1
11_Peak_3227_lociStitched	chr10	81001378	81054924	11	16854	34965.538	6950.2708	39	1
9_Peak_16912_lociStitched	chr12	48195680	48223356	9	17699	31008.1904	3539.7604	40	1
22_Peak_19095_lociStitched	chr15	40336761	40408765	22	26103	35922.7956	8712.484	41	1
9_Peak_92819_lociStitched	chr15	75063744	75093192	9	17363	30849.7248	3904.8048	42	1
18_Peak_20874_lociStitched	chr10	125819039	125867297	18	23152	32887.827	5983.992	43	1
21_Peak_29244_lociStitched	chrX	12967697	13033036	21	22621	33629.9833	6880.1967	44	1
19_Peak_22203_lociStitched	chr3	186694739	186762919	19	29101	34233.178	7533.89	45	1
6_Peak_68327_lociStitched	chr3	5014735	5037185	6	12287	28897.64	2579.505	46	1
Peak_89	chr22	50963039	50973968	1	10930	27007.7448	1098.3645	47	1
14_Peak_24828_lociStitched	chr15	81576608	81623705	14	16874	31262.9886	5364.3483	48	1
2_Peak_754_lociStitched	chr17	43298233	43309370	2	9923	27003.8839	1266.2769	49	1
14_Peak_47991_lociStitched	chr11	117845216	117887494	14	20818	30812.2064	5217.1052	50	1
9_Peak_68507_lociStitched	chr9	117125950	117161200	9	16878	29694.6	4437.975	51	1
