REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_589_Tu_IP.nodup.bam	Endometrioid_589_Tu_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
103_Peak_80649_lociStitched	chr12	124841897	125260270	103	234384	452010.1892	60580.4104	1	NCOR2	NCOR2	NCOR2	1	1	ENSG00000196498	NCOR2	120.453952827208	1
45_Peak_68743_lociStitched	chr17	76246570	76418061	45	97102	190509.3519	21024.7966	2	SOCS3,PGS1	BIRC5,EPR1,LOC283999	SOCS3	2	1	ENSG00000184557	SOCS3	54.9015144409157	1
58_Peak_35565_lociStitched	chr5	172140812	172382741	58	112546	194801.2308	29926.6173	3	LOC100268168,ERGIC1,DUSP1	RPL26L1,ATP6V0E1	ERGIC1	3	1	ENSG00000113719	ERGIC1	182.15930024593	1
63_Peak_7623_lociStitched	chr20	48835694	49081239	63	114868	186761.527	30987.779	4	LOC284751	PTPN1,CEBPB	LOC284751	4	1	ENSG00000203999	LINC01270	1.24776169183899	1
20_Peak_61604_lociStitched	chr9	132164139	132269883	20	52703	157125.0096	12646.9824	5			C9orf106	5	1	ENSG00000204054	LINC00963	118.640444822809	2
34_Peak_6570_lociStitched	chr2	43354254	43504579	34	69653	151046.56	17963.8375	6	THADA,LOC100129726,ZFP36L2		ZFP36L2	6	1	ENSG00000152518	ZFP36L2	193.662045632807	1
46_Peak_41728_lociStitched	chr17	75275821	75474094	46	91936	157508.0712	24427.2336	7	SEPT9,MIR4316		SEPT9	7	1	ENSG00000184640	SEPT9	174.507218347983	1
43_Peak_14343_lociStitched	chr22	36715985	36867821	43	94155	150985.7184	18448.074	8	MYH9,TXN2	FOXRED2	MYH9	8	1	ENSG00000100345	MYH9	465.858773555724	1
44_Peak_97704_lociStitched	chr2	28542385	28694904	44	73442	151024.3138	18790.3408	9	BRE,FOSL2	PLB1	FOSL2	9	1	ENSG00000075426	FOSL2	164.758793831088	1
22_Peak_2199_lociStitched	chr10	74002151	74098122	22	55606	127487.8764	13915.795	10	DDIT4,DNAJB12	ANAPC16,ASCC1,DNAJB12	DDIT4	10	1	ENSG00000168209	DDIT4	40.8140812876661	1
6_Peak_25112_lociStitched	chr3	50264166	50314563	6	46214	117309.0969	6516.3321	11	GNAI2,SEMA3B	GNAT1,HYAL3,SLC38A3,HYAL1,C3orf45,NAT6,HYAL2,IFRD2	GNAI2	11	1	ENSG00000114353	GNAI2	127.917817203965	1
49_Peak_50328_lociStitched	chr14	61927626	62083427	49	71917	129735.4927	19428.3847	12	PRKCH		HIF1A	12	1	ENSG00000100644	HIF1A	92.9118427972965	1
11_Peak_8638_lociStitched	chr19	2027662	2096699	11	49321	115091.5827	9313.0913	13	MKNK2,MOBKL2A	BTBD2,IZUMO4	MKNK2	13	1	ENSG00000099875	MKNK2	64.5326538904264	1
37_Peak_35797_lociStitched	chr19	2461689	2637678	37	74171	124125.0417	19569.9768	14	GADD45B,GNG7	LMNB2,TIMM13	GADD45B	14	1	ENSG00000099860	GADD45B	22.3457907797221	1
Peak_402	chr19	1243867	1272677	1	28811	107550.611	3699.204	15	C19orf23,CIRBP,ATP5D,MIDN	ATP5D,STK11,C19orf26,EFNA2,C19orf24	MIDN	15	1	ENSG00000167470	MIDN	95.6445804153529	1
11_Peak_17078_lociStitched	chr8	145001793	145053493	11	40173	110519.09	7005.35	16	PLEC,PARP10,MIR661	GRINA,SPATC1	PLEC	16	1	ENSG00000178209	PLEC	392.892195636502	1
20_Peak_3978_lociStitched	chr9	132310539	132377675	20	49821	111123.5072	8251.0144	17	C9orf50	ASB6,METTL11A	C9orf50	17	1	ENSG00000179058	C9orf50	0.889035543360276	1
9_Peak_17492_lociStitched	chr11	118739431	118809944	9	33195	109894.5105	8433.3548	18	CXCR5,BCL9L	UPK2,FOXR1	BCL9L	18	1	ENSG00000186174	BCL9L	51.5099097810062	1
37_Peak_18711_lociStitched	chr17	38598541	38718987	37	76856	109449.2802	13766.9778	19	IGFBP4,TNS4,CCR7	TOP2A	TNS4	19	1	ENSG00000141753	IGFBP4	49.4739025384385	1
28_Peak_38954_lociStitched	chr17	17566276	17696726	28	55809	109277.965	15106.11	20	SMCR5,RAI1	MIR33B,SREBF1	RAI1	20	1	ENSG00000108557	RAI1	35.3256518459643	1
30_Peak_7169_lociStitched	chr10	79580206	79683923	30	66758	104764.5417	14707.0706	21	DLG5	LOC100128292	DLG5	21	1	ENSG00000151208	DLG5	66.4654986658354	1
9_Peak_96731_lociStitched	chr22	50319421	50364872	9	33972	95556.1824	5626.8338	22	CRELD2,PIM3	CRELD2,ALG12	PIM3	22	1	ENSG00000198355	PIM3	31.4552921734244	1
22_Peak_40296_lociStitched	chr1	16464157	16545094	22	54679	98985.951	9591.0345	23	EPHA2,ARHGEF19	C1orf89	EPHA2	23	1	ENSG00000142627	EPHA2	30.9695541992627	1
5_Peak_39527_lociStitched	chr19	12868569	12907662	5	21040	94089.0324	4722.4344	24	HOOK2,PRDX2,JUNB,BEST2	ASNA1,RNASEH2A,RTBDN,TNPO2,C19orf43,MAST1	HOOK2	24	1	ENSG00000095066	HOOK2	74.3572531134399	1
15_Peak_23690_lociStitched	chr11	65236079	65289675	15	34145	94441.5116	6779.894	25	MALAT1	SCYL1,LTBP3,SSSCA1,MIR612,NEAT1	MALAT1	25	1	ENSG00000251562	MALAT1	20699.8595193961	1
25_Peak_54060_lociStitched	chr15	90541194	90646943	25	48356	100567.299	13070.5764	26	ZNF710,IDH2		ZNF710	26	1	ENSG00000182054	IDH2	38.2285283644919	1
15_Peak_35678_lociStitched	chr1	235090045	235154069	15	39133	94499.424	8291.108	27			SNORA14B	27	1	ENSG00000238005		0.488103006042658	1
14_Peak_44666_lociStitched	chr1	12190458	12257653	14	48362	92749.2585	8184.351	28	TNFRSF1B,TNFRSF8	VPS13D	TNFRSF1B	28	1	ENSG00000028137	TNFRSF1B	18.4905899744948	1
