REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_464_IP.nodup.bam	Mucinous_464_INPUT.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
24_Peak_32230_lociStitched	chr1	201971436	202104504	24	87841	149834.568	12841.062	1	RNPEP,ARL8A,ELF3,GPR37L1	TIMM17A,PTPN7,ELF3,PTPRVP	GPR37L1	1	1	ENSG00000163435	ELF3	243.043030111608	1
25_Peak_33427_lociStitched	chr20	42979281	43094557	25	80962	151149.8912	18617.074	2	HNF4A,MIR3646,R3HDML	FITM2,TTPAL,HNF4A	MIR3646	2	1	ENSG00000101076	HNF4A	4.51391274344156	1
34_Peak_1864_lociStitched	chr2	43327835	43504637	34	80321	143846.1072	21552.1638	3	THADA,LOC100129726,ZFP36L2		ZFP36L2	3	1	ENSG00000152518	ZFP36L2	193.662045632807	1
36_Peak_7617_lociStitched	chr22	36718814	36866836	36	104742	121733.2928	12996.3316	4	MYH9,TXN2	FOXRED2	MYH9	4	1	ENSG00000100345	MYH9	465.858773555724	1
23_Peak_30536_lociStitched	chr19	39125474	39227278	23	81419	117705.7848	10679.2396	5	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	5	1	ENSG00000130402	ACTN4	381.617471962806	1
31_Peak_33650_lociStitched	chr5	172191462	172334022	31	80478	121304.304	17463.6	6	ERGIC1,DUSP1		ERGIC1	6	1	ENSG00000113719	ERGIC1	182.15930024593	1
23_Peak_51576_lociStitched	chr5	131744348	131862633	23	70497	116250.498	14986.7095	7	C5orf56,IRF1	RAD50,SLC22A5,MIR3936,IL5	IRF1	7	1	ENSG00000125347	IRF1	37.9680887497992	1
25_Peak_1504_lociStitched	chr1	27814363	27933428	25	58430	112409.2665	15942.8035	8	WASF2,AHDC1	FGR	AHDC1	8	1	ENSG00000126705	AHDC1	29.9950851866503	1
21_Peak_10224_lociStitched	chr1	10777262	10880704	21	61734	107041.7816	13116.4456	9	CASZ1		CASZ1	9	1	ENSG00000130940	CASZ1	22.4240263364303	1
17_Peak_54055_lociStitched	chr1	16465058	16553970	17	56279	103146.8112	12154.2704	10	EPHA2,ARHGEF19	C1orf89	EPHA2	10	1	ENSG00000142627	EPHA2	30.9695541992627	1
27_Peak_17876_lociStitched	chr1	17824431	17933408	27	66139	105925.644	15289.4731	11	ARHGEF10L		ARHGEF10L	11	1	ENSG00000074964	ARHGEF10L	19.6531995297485	1
23_Peak_12784_lociStitched	chr11	12088209	12201796	23	69628	103966.1811	14459.6251	12	MICAL2		MICAL2	12	1	ENSG00000133816	MICAL2	32.2696740807737	1
19_Peak_8650_lociStitched	chr2	28563638	28673445	19	51196	102944.0625	13605.0873	13	FOSL2	PLB1	FOSL2	13	1	ENSG00000075426	FOSL2	164.758793831088	1
13_Peak_4881_lociStitched	chr7	130570016	130646792	13	57373	99954.6744	10656.5088	14	FLJ43663,LOC646329	MIR29A,MIR29B1	LOC646329	14	1	ENSG00000273319		36.5934907876675	1
10_Peak_62688_lociStitched	chr1	43987530	44053253	10	46020	98183.5897	9214.3646	15	PTPRF		PTPRF	15	1	ENSG00000142949	PTPRF	387.65295198285	1
18_Peak_15083_lociStitched	chr2	232467763	232577600	18	44522	99622.159	13444.0488	16	PTMA	C2orf57,PTMA,MIR1244-2	PTMA	16	1	ENSG00000187514	PTMA	922.382099240683	1
9_Peak_10882_lociStitched	chr1	117002613	117058394	9	49048	90220.1894	8752.0389	17	CD58	ATP1A1OS	ATP1A1OS	17	1	ENSG00000224950		1.11349572406507	1
15_Peak_55536_lociStitched	chr20	45932227	45990670	15	41164	89417.79	9742.4481	18	ZMYND8,LOC100131496	ZMYND8	LOC100131496	18	1	ENSG00000267882		1.64218263588924	1
43_Peak_15145_lociStitched	chr1	54715661	54891465	43	74995	104374.8348	24805.9444	19	SSBP3	CYB5RL,MRPL37	SSBP3	19	1	ENSG00000157216	SSBP3	127.467423012349	1
21_Peak_506_lociStitched	chr14	74184224	74292051	21	53241	90197.2855	12648.1071	20	C14orf43	PNMA1,PTGR2	C14orf43	20	1	ENSG00000259065		0.810187987918837	1
16_Peak_39877_lociStitched	chr2	47520952	47609887	16	45456	87921.141	10867.857	21	MIR559,EPCAM	MSH2	EPCAM	21	1	ENSG00000119888	EPCAM	194.937632734336	1
36_Peak_29652_lociStitched	chr3	57928625	58058103	36	72454	93767.9676	16728.5576	22	FLNB	FLNB	FLNB	22	1	ENSG00000136068	FLNB	225.097801149248	1
41_Peak_49908_lociStitched	chr2	42217027	42375012	41	53017	95059.5745	18105.081	23	PKDCC	EML4	PKDCC	23	1	ENSG00000162878	PKDCC	28.139924124008	1
11_Peak_56177_lociStitched	chr18	19743852	19831249	11	45794	86086.045	10103.0932	24	GATA6		GATA6	24	1	ENSG00000141448	GATA6	7.15519346301525	1
26_Peak_23383_lociStitched	chr2	54749937	54862935	26	65649	90850.392	15525.9252	25	RPL23AP32,SPTBN1		SPTBN1	25	1	ENSG00000115306	SPTBN1	271.237654332411	1
12_Peak_18188_lociStitched	chr12	6275428	6351393	12	48800	84814.9225	10088.152	26	CD9	VWF	CD9	26	1	ENSG00000010278	CD9	57.4919348287287	1
8_Peak_4942_lociStitched	chr2	20377563	20436489	8	43163	81270.7392	7330.3944	27	SDC1		SDC1	27	1	ENSG00000115884	SDC1	36.6268585849158	1
25_Peak_29639_lociStitched	chr2	208598793	208714053	25	54346	88196.952	14338.344	28	CCNYL1,FZD5,PLEKHM3	CCNYL1	FZD5	28	1	ENSG00000163251	FZD5	34.5106236697163	1
42_Peak_45693_lociStitched	chr1	19690016	19833419	42	65776	94803.7233	21137.6022	29	CAPZB		CAPZB	29	1	ENSG00000077549	CAPZB	98.7623344479686	1
10_Peak_7460_lociStitched	chr10	81903706	81969358	10	44404	80404.0044	8318.1084	30	PLAC9,ANXA11	ANXA11	ANXA11	30	1	ENSG00000122359	ANXA11	189.687744666363	1
18_Peak_66536_lociStitched	chr19	45220012	45288716	18	48451	78590.5056	6932.2336	31	CBLC,BCL3	CEACAM16,CBLC,CEACAM19,BCAM	BCL3	31	1	ENSG00000069399	BCL3	15.6007350409478	1
3_Peak_137_lociStitched	chr1	15726905	15760348	3	25408	75905.5771	5103.4018	32	EFHD2	CTRC,CELA2A,CELA2B	EFHD2	32	1	ENSG00000142634	EFHD2	38.9086220771407	1
39_Peak_47115_lociStitched	chr2	43132509	43315141	39	78505	91991.7384	21349.6808	33			HAAO	33	1	ENSG00000162882	HAAO	4.03168313484106	1
13_Peak_3015_lociStitched	chr14	93471404	93542152	13	41027	78799.1224	8171.394	34	ITPK1,ITPK1-AS1	ITPK1	ITPK1-AS1	34	1	ENSG00000258730	ITPK1-AS1	2.69132465125628	1
13_Peak_6240_lociStitched	chr2	10508440	10593707	13	50865	80747.849	10999.443	35	HPCAL1,ODC1,SNORA80B		SNORA80B	35	1	ENSG00000115758	ODC1	44.4985685124012	1
42_Peak_32826_lociStitched	chr15	67315850	67491161	42	74270	87375.0024	18249.8751	36	SMAD3		SMAD3	36	1	ENSG00000166949	SMAD3	53.3746952468293	1
25_Peak_26555_lociStitched	chr10	105504182	105619561	25	65888	81872.9384	13649.3357	37	SH3PXD2A		SH3PXD2A	37	1	ENSG00000107957	SH3PXD2A	88.9806150024211	1
7_Peak_1630_lociStitched	chr5	141210885	141258926	7	35306	72902.2175	5495.8904	38	PCDH1	KIAA0141,LOC729080	PCDH1	38	1	ENSG00000156453	PCDH1	32.9476448420327	1
14_Peak_71453_lociStitched	chr1	33177726	33241434	14	34977	75360.1932	8664.288	39	YARS,KIAA1522	KIAA1522,SYNC,S100PBP	KIAA1522	39	1	ENSG00000162522	KIAA1522	76.3843674173869	1
22_Peak_86477_lociStitched	chr10	126314195	126438143	22	60516	81681.732	15047.2872	40	FAM53B	METTL10	FAM53B	40	1	ENSG00000189319	FAM53B	26.527093593062	1
20_Peak_49314_lociStitched	chr14	65129332	65231698	20	43762	78903.7128	12335.103	41	SPTB,PLEKHG3		PLEKHG3	41	1	ENSG00000126822	PLEKHG3	63.2724556045271	1
6_Peak_40933_lociStitched	chr8	145007417	145048510	6	28545	71777.1431	5239.3575	42	PLEC,MIR661	GRINA,SPATC1,PARP10	PLEC	42	1	ENSG00000178209	PLEC	392.892195636502	1
11_Peak_6914_lociStitched	chr19	4038547	4106238	11	35155	72754.2868	6241.1102	43	MAP2K2,ZBTB7A	PIAS4,CREB3L3	ZBTB7A	43	1	ENSG00000178951	ZBTB7A	62.7471928234805	1
26_Peak_23222_lociStitched	chr1	21577935	21673206	26	57877	78122.22	13147.398	44	ECE1		ECE1	44	1	ENSG00000117298	ECE1	89.539295974677	1
9_Peak_17433_lociStitched	chr6	39134343	39198101	9	52820	71300.5714	6611.7046	45	KCNK5		KCNK5	45	1	ENSG00000164626	KCNK5	15.4879349922237	1
26_Peak_14776_lociStitched	chr11	16920017	17037872	26	60905	77866.7985	13435.47	46	PLEKHA7		PLEKHA7	46	1	ENSG00000166689	PLEKHA7	31.0665307014155	1
13_Peak_32517_lociStitched	chr21	40105812	40203686	13	56231	74080.8306	10227.833	47	ETS2,NCRNA00114		NCRNA00114	47	1	ENSG00000157557	ETS2	44.1056632810914	1
21_Peak_13086_lociStitched	chr1	33358267	33459762	21	42801	77745.17	14067.207	48	HPCA,TMEM54,RNF19B	AK2,FNDC5	RNF19B	48	1	ENSG00000121900	TMEM54	10.8616726770516	1
16_Peak_42150_lociStitched	chr11	76750717	76824864	16	42270	71707.5637	8356.3669	49	CAPN5,OMP,B3GNT6	MYO7A	CAPN5	49	1	ENSG00000149260	CAPN5	14.0841946606023	1
21_Peak_64111_lociStitched	chr1	15466229	15557285	21	50683	76259.4	13039.2192	50	TMEM51,C1orf126	TMEM51,FHAD1	TMEM51	50	1	ENSG00000171729	TMEM51	16.1823419619138	1
