REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Mucinous_3724_IP.nodup.bam	Mucinous_3724_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
92_Peak_57954_lociStitched	chr17	75223460	75503081	92	134620	257195.3958	36378.6921	1	SEPT9,MIR4316	SEC14L1	SEPT9	1	1	ENSG00000184640	SEPT9	174.507218347983	1
60_Peak_46581_lociStitched	chr16	88442700	88626911	60	114798	223411.1008	16671.0955	2	ZNF469,ZFPM1	ZC3H18	ZFPM1	2	1	ENSG00000225614	ZNF469	5.94137857807147	1
44_Peak_7274_lociStitched	chr19	39125197	39231201	44	88591	203474.678	15624.9896	3	ACTN4,CAPN12,EIF3K	MAP4K1,LGALS7B,LGALS7	ACTN4	3	1	ENSG00000130402	ACTN4	381.617471962806	1
209_Peak_27931_lociStitched	chr12	124778520	125285642	209	194138	227697.778	41381.1552	4	NCOR2,SCARB1,FAM101A	NCOR2	NCOR2	4	1	ENSG00000196498	NCOR2	120.453952827208	1
73_Peak_56918_lociStitched	chr7	5335145	5541836	73	67107	209357.3139	27758.6013	5	SLC29A4,FBXL18,MIR589,TNRC18	SLC29A4,ACTB	TNRC18	5	1	ENSG00000182095	TNRC18	116.868664254118	1
70_Peak_158812_lociStitched	chr9	132077040	132287502	70	77489	158414.7474	16416.036	6	C9orf106		C9orf106	6	1	ENSG00000204054	LINC00963	118.640444822809	1
102_Peak_17268_lociStitched	chr5	172070751	172346220	102	97960	168449.2935	29943.4803	7	NEURL1B,ERGIC1,DUSP1	LOC100268168,RPL26L1	DUSP1	7	1	ENSG00000120129	DUSP1	84.011140922401	1
93_Peak_9776_lociStitched	chr1	10676477	10897893	93	104929	150717.8712	20193.1392	8	CASZ1,PEX14		CASZ1	8	1	ENSG00000130940	CASZ1	22.4240263364303	1
54_Peak_8352_lociStitched	chr2	43327655	43504771	54	61715	147590.7628	19606.7412	9	THADA,LOC100129726,ZFP36L2		ZFP36L2	9	1	ENSG00000152518	ZFP36L2	193.662045632807	1
49_Peak_322_lociStitched	chr17	48908380	49034269	49	49926	139950.8013	17536.3377	10	WFIKKN2,TOB1		TOB1	10	1	ENSG00000141232	TOB1	56.6212575687088	1
59_Peak_75773_lociStitched	chr17	76839254	77003191	59	65361	131952.8913	21803.621	11	CANT1,TIMP2,LGALS3BP	C1QTNF1,USP36	TIMP2	11	1	ENSG00000108679	LGALS3BP	211.87120738607	1
76_Peak_30891_lociStitched	chr10	80806720	80984556	76	91101	124467.4164	17676.8984	12	ZMIZ1,LOC283050	LOC283050	ZMIZ1	12	1	ENSG00000108175	ZMIZ1	48.9931996842572	1
71_Peak_34836_lociStitched	chr22	36677977	36866494	71	77869	127720.2675	21227.0142	13	MYH9,TXN2	APOL2,FOXRED2,APOL1	MYH9	13	1	ENSG00000100345	MYH9	465.858773555724	1
35_Peak_95940_lociStitched	chr4	1745488	1868485	35	65372	118310.8143	11820.0117	14	TACC3,LETM1,FGFR3	WHSC1,FGFR3,TMEM129,SLBP	FGFR3	14	1	ENSG00000168924	LETM1	43.9229571066992	1
155_Peak_138336_lociStitched	chr16	85110643	85526699	155	120743	145786.0224	39566.9256	15	LOC400548,KIAA0513,FAM92B		LOC400548	15	1	ENSG00000179219	LINC00311	0.608419577822522	1
27_Peak_22754_lociStitched	chr17	77881672	77984418	27	55666	118538.0602	13644.6688	16	TBC1D16	CCDC40	TBC1D16	16	1	ENSG00000167291	TBC1D16	50.9092212746987	1
10_Peak_46995_lociStitched	chr22	50321579	50364860	10	37770	108791.1216	4431.9744	17	PIM3	CRELD2,ALG12	PIM3	17	1	ENSG00000198355	PIM3	31.4552921734244	1
29_Peak_57023_lociStitched	chr18	19743889	19835844	29	27483	119421.9585	15292.1165	18	GATA6		GATA6	18	1	ENSG00000141448	GATA6	7.15519346301525	1
37_Peak_22226_lociStitched	chr7	5565672	5677764	37	43818	114322.6308	15659.2524	19	RNF216,ACTB,FSCN1	MIR589,FBXL18	FSCN1	19	1	ENSG00000075624	ACTB	1933.15464981693	1
43_Peak_30929_lociStitched	chr17	48666042	48781739	43	57823	111589.7565	15410.8404	20	ABCC3,CACNA1G,ANKRD40	CACNA1G,LUC7L3,SPATA20	ABCC3	20	1	ENSG00000108846	ABCC3	17.0965901368129	1
17_Peak_31591_lociStitched	chr15	96864114	96909988	17	27301	101289.792	5151.6502	21	NR2F2,MIR1469		NR2F2	21	1	ENSG00000185551	NR2F2	109.550421333738	1
49_Peak_78744_lociStitched	chr5	139014821	139129940	49	50893	106220.3013	11638.5309	22	CXXC5	PSD2	CXXC5	22	1	ENSG00000171604	CXXC5	44.7229510821834	1
76_Peak_36332_lociStitched	chr2	43149820	43314523	76	77156	111635.6934	17969.0973	23			HAAO	23	1	ENSG00000162882	HAAO	4.03168313484106	1
23_Peak_43672_lociStitched	chr17	38214513	38270880	23	33617	98563.3362	8060.481	24	NR1D1,THRA	SNORD124,MSL1,MED24,CASC3,CSF3	NR1D1	24	1	ENSG00000126351	THRA	27.372289559295	1
21_Peak_36692_lociStitched	chr2	232504495	232581281	21	33887	98355.1874	7978.0654	25	MIR1244-1,PTMA	C2orf57,PTMA,MIR1244-2	PTMA	25	1	ENSG00000187514	PTMA	922.382099240683	1
46_Peak_11471_lociStitched	chr2	28548573	28677326	46	46571	105062.448	14922.4727	26	BRE,FOSL2	PLB1	FOSL2	26	1	ENSG00000075426	FOSL2	164.758793831088	1
89_Peak_12641_lociStitched	chr9	137159749	137395599	89	99620	105613.63	16556.67	27	RXRA		RXRA	27	1	ENSG00000186350	RXRA	39.5523194205565	1
77_Peak_26279_lociStitched	chr7	47477764	47683062	77	60780	116629.7938	28762.2498	28	TNS3	C7orf65	TNS3	28	1	ENSG00000136205	TNS3	70.2544083013694	1
90_Peak_30293_lociStitched	chr22	46883964	47104798	90	80264	109114.0794	21465.0648	29	GRAMD4,CERK,CELSR1		GRAMD4	29	1	ENSG00000075240	GRAMD4	25.838198616444	1
114_Peak_41542_lociStitched	chr2	121469715	121753566	114	87935	114959.655	27902.5533	30	GLI2		GLI2	30	1	ENSG00000074047	GLI2	3.89388529806414	1
58_Peak_63150_lociStitched	chr17	80968242	81152033	58	58510	107058.2575	20694.8666	31	B3GNTL1,METRNL	FLJ43681	METRNL	31	1	ENSG00000176845	METRNL	10.7958511598243	1
24_Peak_5076_lociStitched	chr14	74184046	74269886	24	37183	94552.76	9966.024	32	C14orf43	PNMA1,PTGR2	C14orf43	32	1	ENSG00000156030	ELMSAN1	45.0838907166489	2
87_Peak_103316_lociStitched	chr2	218650173	218883568	87	77459	108131.9035	24903.2465	33	TNS1	RUFY4,DIRC3,CXCR2P1	TNS1	33	1	ENSG00000079308	TNS1	87.6988310502487	1
40_Peak_51453_lociStitched	chr17	80548672	80671284	40	42262	99450.5932	16368.702	34	WDR45L,FOXK2,RAB40B	FN3KRP,FN3K,TBCD	WDR45L	34	1	ENSG00000141580	WDR45B	68.9022115495261	1
14_Peak_39865_lociStitched	chr17	39775506	39836056	14	23286	88639.145	7284.165	35	KRT17,KRT42P	GAST,KRT9,EIF1,KRT16,KRT14	KRT42P	35	1	ENSG00000128422	KRT17	7.64629560056063	1
Peak_557	chr8	145005760	145029684	1	23925	82812.926	2693.8424	36	PLEC,MIR661	GRINA,PARP10	PLEC	36	1	ENSG00000178209	PLEC	392.892195636502	1
74_Peak_43756_lociStitched	chr3	14394941	14590039	74	73759	101568.0188	21538.8192	37	SLC6A6,GRIP2		SLC6A6	37	1	ENSG00000131389	SLC6A6	40.2334745792865	1
36_Peak_57390_lociStitched	chr19	15271509	15376906	36	35987	107273.0666	27930.205	38	EPHX3,BRD4,NOTCH3	ILVBL	NOTCH3	38	1	ENSG00000074181	NOTCH3	65.2911403500142	1
29_Peak_72127_lociStitched	chr14	100568971	100689435	29	39752	91251.48	12130.7248	39	EVL,DEGS2	YY1	DEGS2	39	1	ENSG00000168350	DEGS2	13.4808674770812	1
19_Peak_21332_lociStitched	chr17	72390594	72459987	19	26853	86935.5504	9416.6301	40	GPRC5C	GPR142,CD300A,BTBD17	GPRC5C	40	1	ENSG00000170412	GPRC5C	48.9938118588631	1
46_Peak_25213_lociStitched	chr7	116146	232463	46	42233	93402.551	17819.7644	41	FAM20C		FAM20C	41	1	ENSG00000177706	FAM20C	22.6224619781243	1
41_Peak_1432_lociStitched	chr19	4009966	4099590	41	46381	81638.5016	6273.68	42	PIAS4,MAP2K2,ZBTB7A	DAPK3,EEF2,MIR637,SNORD37	ZBTB7A	42	1	ENSG00000178951	ZBTB7A	62.7471928234805	1
63_Peak_25970_lociStitched	chr11	68063723	68231870	63	57065	90748.9359	16545.6648	43	LRP5,PPP6R3	PPP6R3,C11orf24	LRP5	43	1	ENSG00000162337	LRP5	36.598258552992	1
26_Peak_82481_lociStitched	chr2	20366065	20442664	26	42014	82535.4225	8441.2098	44	SDC1		SDC1	44	1	ENSG00000115884	SDC1	36.6268585849158	1
32_Peak_6414_lociStitched	chr1	16436053	16514504	32	41183	81071.2634	6997.8292	45	EPHA2	ARHGEF19,FAM131C,C1orf89	EPHA2	45	1	ENSG00000142627	EPHA2	30.9695541992627	1
11_Peak_36180_lociStitched	chr11	118758400	118811433	11	26591	79422.2208	5372.2429	46	CXCR5,BCL9L	UPK2,FOXR1	BCL9L	46	1	ENSG00000186174	BCL9L	51.5099097810062	1
40_Peak_55483_lociStitched	chr17	76286322	76439733	40	43567	93028.4304	18992.2818	47	SOCS3,PGS1,DNAH17		SOCS3	47	1	ENSG00000184557	SOCS3	54.9015144409157	1
87_Peak_27867_lociStitched	chr1	54684673	54874967	87	69527	91265.0024	18667.8414	48	SSBP3	CYB5RL,MRPL37	SSBP3	48	1	ENSG00000157216	SSBP3	127.467423012349	1
