ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters	p.adjust
ENSG00000001084	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	GCLC	6	53362139	53481768	-1	11919	10	9	0.0668593516499779	5	232	8	2	6	0.389999110551602
ENSG00000001460	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	STPG1	1	24683489	24743424	-1	16580	9	8	0.394845650098924	7	232	5	3	3	0.675100225658269
ENSG00000001461	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	NIPAL3	1	24742284	24799466	1	15898	8	8	0.352359792071762	7	232	4	3	2	0.647500193906882
ENSG00000001617	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	SEMA3F	3	50192478	50226508	1	26681	14	13	0.306607528328451	11	232	2	1	3	0.625267796448803
ENSG00000002587	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	HS3ST1	4	11394774	11431389	-1	7642	5	5	0.227996288635539	3	232	2	1	1	0.574955363645436
ENSG00000002919	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	SNX11	17	46180719	46200436	1	1759	1	1	0.532517923194358	1	232	1	1	0	0.749017013279933
ENSG00000002933	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	TMEM176A	7	150497491	150502208	1	12209	12	12	0.00577987735873831	5	232	3	1	2	0.186268017583493
ENSG00000003096	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]	protein_coding	KLHL13	X	117031776	117251303	-1	3160	5	5	0.0121280491742793	1	232	2	1	1	0.224503863911553
ENSG00000003147	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	ICA1	7	8152814	8302317	-1	8443	6	6	0.152235991385031	3	232	5	1	4	0.504427807260588
ENSG00000003400	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	CASP10	2	202047604	202094129	1	33840	12	12	0.735735301851136	14	232	7	6	1	0.853936288704155
ENSG00000003989	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	SLC7A2	8	17354597	17428082	1	4412	2	2	0.566019975180475	2	232	1	1	0	0.769062266692181
ENSG00000004139	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	SARM1	17	26691378	26728065	1	5664	4	4	0.224962479623892	2	232	2	2	0	0.570630452568697
ENSG00000004455	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	AK2	1	33473585	33546597	-1	11262	5	5	0.521244581505483	5	232	4	1	3	0.744825943820988
ENSG00000004660	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	CAMKK1	17	3763609	3798185	-1	12777	4	3	0.910148278341024	5	232	2	1	1	0.938463348206809
ENSG00000004777	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	protein_coding	ARHGAP33	19	36265434	36279724	1	4044	6	6	0.00825643321577929	2	232	3	1	2	0.203044968983393
ENSG00000004838	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	ZMYND10	3	50378541	50384283	-1	3171	3	2	0.396023272599792	1	232	2	1	2	0.67530536773584
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	PRSS22	16	2902728	2908171	-1	22636	9	6	0.915115958390279	9	232	4	4	1	0.942271919625513
ENSG00000005020	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	SKAP2	7	26706681	27034858	-1	64204	43	36	0.012219127779759	25	232	12	8	4	0.224503863911553
ENSG00000005073	homeobox A11 [Source:HGNC Symbol;Acc:5101]	protein_coding	HOXA11	7	27221129	27224842	-1	5342	5	5	0.0803512343472171	2	232	2	2	0	0.412907814850267
ENSG00000005379	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	BZRAP1	17	56378592	56406152	-1	7297	4	4	0.37841089164942	3	232	3	2	1	0.665097730712868
ENSG00000005448	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	WDR54	2	74648805	74652882	1	8064	5	5	0.260919855518952	3	232	3	2	2	0.59974710092252
ENSG00000005884	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ITGA3	17	48133332	48167845	1	6964	6	6	0.0787203993132135	3	232	3	1	2	0.410202724622263
ENSG00000005961	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	ITGA2B	17	42449548	42466873	-1	4192	2	2	0.53849719041702	2	232	2	2	0	0.751217616004566
ENSG00000006007	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	GDE1	16	19513015	19533467	-1	26222	9	7	0.923243567738722	11	232	3	3	0	0.947745572364374
ENSG00000006015	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	C19orf60	19	18699495	18703146	1	15642	8	8	0.336537188055673	6	232	2	2	0	0.643268286228605
ENSG00000006025	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	OSBPL7	17	45884738	45899200	-1	5837	3	3	0.456690157259662	2	232	3	1	2	0.704182647446002
ENSG00000006042	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	TMEM98	17	31254928	31272124	1	4638	3	3	0.320089032029919	2	232	2	1	1	0.634350748636894
ENSG00000006047	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	YBX2	17	7191571	7197934	-1	7550	2	2	0.835198899089886	3	232	1	1	2	0.898728956169876
ENSG00000006210	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	CX3CL1	16	57406370	57418960	1	12917	9	8	0.180809735687855	5	232	3	3	1	0.534612244806383
ENSG00000006282	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	SPATA20	17	48620419	48633213	1	29494	14	12	0.556734165602584	12	232	5	4	1	0.763507273315488
ENSG00000006327	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	TNFRSF12A	16	3068446	3072384	1	3438	3	3	0.184579731554758	1	232	2	1	1	0.53840301366017
ENSG00000006377	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	DLX6	7	96634860	96640351	1	19525	17	16	0.00755134086977838	8	232	2	2	1	0.200610458707162
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	9227	7	7	0.099409096305783	4	232	3	2	1	0.431962730632587
