seqnames	start	end	width	strand	nj	nSNV	nSamples	p.value	p.adjust
chr1	998406	998919	514	*	514	1	1	0.0201519853214616	0.117689472884823
chr1	998921	1000485	1565	*	1565	1	1	0.0601024242746884	0.117689472884823
chr1	1166148	1168595	2448	*	2448	1	1	0.0924049894593849	0.120602337397948
chr1	1354880	1356274	1395	*	1395	1	1	0.0537526218525485	0.117689472884823
chr1	1617712	1618984	1273	*	1273	1	1	0.0491692820039901	0.117689472884823
chr1	1693899	1695196	1298	*	1298	1	1	0.0501102959929108	0.117689472884823
chr1	1790221	1791564	1344	*	1344	2	2	0.001287640586766	0.117689472884823
chr1	1820940	1824277	3338	*	3338	1	1	0.123840320188005	0.13783798330735
chr1	2123220	2124739	1520	*	1520	1	1	0.0584257527720542	0.117689472884823
chr1	2159882	2167836	7955	*	7955	2	1	0.270262734421157	0.27128559590551
chr1	2249070	2250014	945	*	945	1	1	0.0367364828848997	0.117689472884823
chr1	6479386	6480840	1455	*	1455	1	1	0.055998612144227	0.117689472884823
chr1	7530968	7532374	1407	*	1407	1	1	0.0542022470016028	0.117689472884823
chr1	7532067	7532665	599	*	599	1	1	0.0234451592537265	0.117689472884823
chr1	7739762	7741376	1615	*	1615	1	1	0.0619618911335641	0.117689472884823
chr1	8434299	8435210	912	*	912	1	1	0.0354766563265763	0.117689472884823
chr1	8523302	8524262	961	*	961	1	1	0.0373467154155431	0.117689472884823
chr1	8524102	8524750	649	*	649	1	1	0.0253771478119911	0.117689472884823
chr1	8939991	8941925	1935	*	1935	1	1	0.0737756765543494	0.117689472884823
chr1	9129074	9129958	885	*	885	1	1	0.0344446636825122	0.117689472884823
chr1	9498354	9499751	1398	*	1398	1	1	0.053865048174758	0.117689472884823
chr1	9779278	9779844	567	*	567	1	1	0.0222066771917615	0.117689472884823
chr1	9779556	9780168	613	*	613	1	1	0.023986501764558	0.117689472884823
chr1	10002413	10004623	2211	*	2211	1	1	0.0838454930787732	0.118850173161989
chr1	10091946	10094130	2185	*	2185	1	1	0.0829015766110861	0.118494648724948
chr1	10725923	10727206	1284	*	1284	2	2	0.00117704203703306	0.117689472884823
chr1	11118660	11120331	1672	*	1672	1	1	0.0640771964683948	0.117689472884823
chr1	11795570	11797413	1844	*	1844	1	1	0.070431352804415	0.117689472884823
chr1	11985694	11987449	1756	*	1756	1	1	0.0671857971429061	0.117689472884823
chr1	12078478	12080649	2172	*	2172	1	1	0.0824292537449585	0.118381737837009
chr1	12651225	12651959	735	*	735	1	1	0.0286912315072207	0.117689472884823
chr1	14074878	14076967	2090	*	2090	2	1	0.0794443749413755	0.117689472884823
chr1	15354950	15355821	872	*	872	1	1	0.0339473845985844	0.117689472884823
chr1	15355768	15356424	657	*	657	1	1	0.0256859110852632	0.117689472884823
chr1	15356070	15356900	831	*	831	1	1	0.0323773646685104	0.117689472884823
chr1	15573311	15574513	1203	*	1203	1	1	0.0465294804697538	0.117689472884823
chr1	15663310	15664514	1205	*	1205	1	1	0.0466050049813685	0.117689472884823
chr1	16408924	16409642	719	*	719	1	1	0.0280755122058645	0.117689472884823
chr1	16476542	16484116	7575	*	7575	1	1	0.259196744756885	0.260725929091734
chr1	16485653	16486542	890	*	890	1	1	0.0346358567020937	0.117689472884823
chr1	17034031	17035613	1583	*	1583	1	1	0.0607722565909887	0.117689472884823
chr1	17455059	17455978	920	*	920	1	1	0.0357822200470156	0.117689472884823
chr1	19763686	19765734	2049	*	2049	1	1	0.0779482963064821	0.117689472884823
chr1	19768520	19769588	1069	*	1069	1	1	0.0414556856379955	0.117689472884823
chr1	19809701	19813741	4041	*	4041	1	1	0.14789914157418	0.157500360314864
chr1	19966819	19967531	713	*	713	1	1	0.0278445168546805	0.117689472884823
chr1	20480336	20481405	1070	*	1070	1	1	0.0414936495935417	0.117689472884823
chr1	20539351	20540331	981	*	981	1	1	0.0381089624716421	0.117689472884823
chr1	21965120	21966119	1000	*	1000	1	1	0.0388325381186085	0.117689472884823
chr1	21965915	21966863	949	*	949	1	1	0.0368890772733533	0.117689472884823
chr1	22246905	22247817	913	*	913	1	1	0.0355148570866182	0.117689472884823
chr1	22247462	22248685	1224	*	1224	1	1	0.0473221895411784	0.117689472884823
chr1	23693618	23696962	3345	*	3345	1	1	0.124083198626824	0.137889476313887
chr1	24116877	24120750	3874	*	3874	1	1	0.142244404647155	0.15219067408909
chr1	24513141	24514655	1515	*	1515	1	1	0.0582392714067193	0.117689472884823
chr1	26199430	26200160	731	*	731	1	1	0.0285373382597969	0.117689472884823
chr1	26421158	26421942	785	*	785	1	1	0.0306128413840777	0.117689472884823
chr1	26679845	26681515	1671	*	1671	1	1	0.064040126988685	0.117689472884823
chr1	27049511	27050431	921	*	921	1	1	0.0358204087049491	0.117689472884823
chr1	27112723	27116120	3398	*	3398	2	1	0.125919951984365	0.138960205911549
chr1	27175781	27176500	720	*	720	1	1	0.0281140060944577	0.117689472884823
chr1	27487450	27488411	962	*	962	1	1	0.0373848421103185	0.117689472884823
chr1	28585129	28587642	2514	*	2514	1	1	0.0947743785746569	0.120659979665485
chr1	29562496	29565847	3352	*	3352	2	2	0.00761022649137333	0.117689472884823
chr1	30456731	30458213	1483	*	1483	1	1	0.0570449157798146	0.117689472884823
chr1	31190155	31191536	1382	*	1382	1	1	0.0532652867287342	0.117689472884823
chr1	31643075	31644855	1781	*	1781	1	1	0.0681089806258746	0.117689472884823
chr1	32402455	32406259	3805	*	3805	1	1	0.139897075026106	0.150082839589805
chr1	32537688	32539650	1963	*	1963	1	1	0.0748022766096662	0.117689472884823
chr1	32644406	32646766	2361	*	2361	1	1	0.0892722255336218	0.119460437288145
chr1	32665682	32667912	2231	*	2231	1	1	0.084570921524316	0.118850173161989
chr1	32826892	32828387	1496	*	1496	1	1	0.0575303053258813	0.117689472884823
chr1	33223166	33228039	4874	*	4874	1	1	0.175553231500144	0.181798509150041
chr1	33231987	33232941	955	*	955	1	1	0.037117923532703	0.117689472884823
chr1	33803739	33805933	2195	*	2195	1	1	0.083264736442743	0.11878111903149
chr1	36850123	36854523	4401	*	4401	1	1	0.159962517852075	0.168133214492692
chr1	36928840	36930752	1913	*	1913	1	1	0.0729682631636338	0.117689472884823
chr1	38468722	38472029	3308	*	3308	1	1	0.12279864955911	0.136844246730904
chr1	39323849	39326488	2640	*	2640	1	1	0.0992805948873152	0.122219071684384
chr1	39857269	39858149	881	*	881	1	1	0.034291682003469	0.117689472884823
chr1	40366111	40368607	2497	*	2497	1	1	0.0941646734625713	0.120659979665485
chr1	41156720	41158676	1957	*	1957	1	1	0.0745823867152215	0.117689472884823
chr1	41248831	41249661	831	*	831	1	1	0.0323773646685104	0.117689472884823
chr1	41342690	41344383	1694	*	1694	1	1	0.0648923536784667	0.117689472884823
chr1	41510706	41511597	892	*	892	1	1	0.0347123233090412	0.117689472884823
chr1	41511478	41512765	1288	*	1288	1	1	0.049734002204821	0.117689472884823
chr1	42356805	42357620	816	*	816	1	1	0.0318023298359249	0.117689472884823
chr1	43422490	43426046	3557	*	3557	1	1	0.131407134871372	0.143227776684002
chr1	43739717	43740499	783	*	783	1	1	0.0305360500309629	0.117689472884823
chr1	43740074	43740700	627	*	627	1	1	0.0245275441880799	0.117689472884823
chr1	43813757	43816025	2269	*	2269	1	1	0.0859476534528747	0.118925163874091
chr1	45138950	45141125	2176	*	2176	1	1	0.0825746097606284	0.118381737837009
chr1	45475550	45477929	2380	*	2380	1	1	0.0899573139822186	0.119580147401119
chr1	46766352	46769337	2986	*	2986	14	1	0.111539766225898	0.128932407739089
chr1	46804813	46808465	3653	*	3653	1	1	0.134703459446695	0.146086850385853
chr1	51433363	51436364	3002	*	3002	2	2	0.00615844386689313	0.117689472884823
chr1	51701348	51703294	1947	*	1947	1	1	0.0742157874165876	0.117689472884823
chr1	52455742	52456689	948	*	948	1	1	0.036850930942616	0.117689472884823
chr1	52830507	52832555	2049	*	2049	1	1	0.0779482963064821	0.117689472884823
chr1	54303252	54304621	1370	*	1370	1	1	0.0528152161558021	0.117689472884823
chr1	54447924	54448730	807	*	807	1	1	0.031457144919279	0.117689472884823
chr1	54517585	54520071	2487	*	2487	1	1	0.0938058315833816	0.120659979665485
chr1	54800268	54801124	857	*	857	1	1	0.0333732827910396	0.117689472884823
chr1	54800821	54801954	1134	*	1134	1	1	0.0439202178716239	0.117689472884823
chr1	59368563	59370428	1866	*	1866	1	1	0.0712409757585293	0.117689472884823
chr1	61515290	61517283	1994	*	1994	1	1	0.0759375423266364	0.117689472884823
chr1	62900650	62903857	3208	*	3208	1	1	0.119317461512804	0.134320622162693
chr1	63787618	63788836	1219	*	1219	1	1	0.0471335090846531	0.117689472884823
chr1	64127565	64129458	1894	*	1894	1	1	0.0722703852023613	0.117689472884823
chr1	66863248	66864000	753	*	753	1	1	0.0293834494882501	0.117689472884823
chr1	76250928	76252585	1658	*	1658	1	1	0.0635580901227103	0.117689472884823
chr1	78224411	78225955	1545	*	1545	1	1	0.0593576058574453	0.117689472884823
chr1	85462272	85463589	1318	*	1318	1	1	0.0508624366047941	0.117689472884823
chr1	86041697	86044126	2430	*	2430	1	1	0.0917577167691993	0.120305925043296
chr1	86173045	86175017	1973	*	1973	1	1	0.0751686436657055	0.117689472884823
chr1	87380025	87381775	1751	*	1751	1	1	0.0670010507284144	0.117689472884823
chr1	87793373	87795676	2304	*	2304	1	1	0.0872138641894615	0.119361562338393
chr1	87799635	87801707	2073	*	2073	1	1	0.078824344468007	0.117689472884823
chr1	89148907	89151384	2478	*	2478	1	1	0.093482752352632	0.120659979665485
chr1	89989331	89991389	2059	*	2059	1	1	0.0783134175769514	0.117689472884823
chr1	90372533	90373104	572	*	572	1	1	0.0224002934982356	0.117689472884823
chr1	92763784	92765421	1638	*	1638	1	1	0.062816010135307	0.117689472884823
chr1	94044300	94046046	1747	*	1747	1	1	0.066853227252704	0.117689472884823
chr1	95172746	95173572	827	*	827	1	1	0.0322240554485561	0.117689472884823
chr1	95267477	95268502	1026	*	1026	1	1	0.0398218123037302	0.117689472884823
chr1	100714693	100715811	1119	*	1119	2	2	0.000897746542480538	0.117689472884823
chr1	104068029	104069404	1376	*	1376	1	1	0.053040278180934	0.117689472884823
chr1	110305545	110307333	1789	*	1789	1	1	0.068404206333776	0.117689472884823
chr1	110772608	110773770	1163	*	1163	2	2	0.000968644602803215	0.117689472884823
chr1	111505610	111506930	1321	*	1321	2	2	0.00124467786241966	0.117689472884823
chr1	111741311	111744017	2707	*	2707	3	1	0.1016676150041	0.123485918263886
chr1	111743634	111744753	1120	*	1120	3	1	0.0433899315274824	0.117689472884823
chr1	115211873	115213603	1731	*	1731	1	1	0.066261699102628	0.117689472884823
chr1	115258323	115260112	1790	*	1790	1	1	0.0684411029704444	0.117689472884823
chr1	116914625	116918179	3555	*	3555	1	1	0.131338328078517	0.143218176849438
chr1	117098451	117099149	699	*	699	1	1	0.0273053141785743	0.117689472884823
chr1	117451896	117454009	2114	*	2114	1	1	0.0803190016674939	0.117689472884823
chr1	117459348	117460337	990	*	990	1	1	0.0384517767063145	0.117689472884823
chr1	120173603	120174805	1203	*	1203	1	1	0.0465294804697538	0.117689472884823
chr1	144593447	144594687	1241	*	1241	1	1	0.0479634236752315	0.117689472884823
chr1	145514664	145517409	2746	*	2746	1	1	0.103054160579646	0.123885189196979
chr1	149898764	149900717	1954	*	1954	1	1	0.0744724221709786	0.117689472884823
chr1	150038592	150040382	1791	*	1791	1	1	0.068477998145791	0.117689472884823
chr1	150130694	150132134	1441	*	1441	1	1	0.0554750250396903	0.117689472884823
chr1	150131651	150132868	1218	*	1218	1	1	0.0470957685093428	0.117689472884823
chr1	150381914	150382844	931	*	931	1	1	0.0362022121069958	0.117689472884823
chr1	150530977	150537686	6710	*	6710	1	1	0.233377264472187	0.235448660310697
chr1	150537427	150542879	5453	*	5453	1	1	0.194244504861364	0.198485288143868
chr1	150545376	150547005	1630	*	1630	1	1	0.0625190135100292	0.117689472884823
chr1	150549289	150550269	981	*	981	1	1	0.0381089624716421	0.117689472884823
chr1	150550221	150553436	3216	*	3216	1	1	0.119596464229276	0.134531932193818
chr1	150564678	150565251	574	*	574	1	1	0.022477729285579	0.117689472884823
chr1	151252937	151256740	3804	*	3804	1	1	0.139863008575534	0.150082839589805
chr1	151429641	151432622	2982	*	2982	1	1	0.111398999422367	0.128894528173141
chr1	151483094	151487991	4898	*	4898	1	1	0.176336544488912	0.182451379148259
chr1	152006575	152010796	4222	*	4222	1	1	0.153985838587322	0.162639025092008
chr1	153512211	153514289	2079	*	2079	1	1	0.0790432264243823	0.117689472884823
chr1	153893993	153896716	2724	*	2724	1	1	0.102272269990981	0.12366965981179
chr1	154357860	154358704	845	*	845	1	1	0.03291375570882	0.117689472884823
chr1	154942058	154948997	6940	*	6940	1	1	0.240329120760041	0.242359785067266
chr1	154983099	154985461	2363	*	2363	1	1	0.0893443643873897	0.119460437288145
chr1	155042858	155044408	1551	*	1551	1	1	0.0595811133353545	0.117689472884823
chr1	155829225	155830834	1610	*	1610	1	1	0.0617761101101415	0.117689472884823
chr1	155915050	155916378	1329	*	1329	1	1	0.0512758600540842	0.117689472884823
chr1	155989713	155991175	1463	*	1463	1	1	0.05629767445108	0.117689472884823
chr1	156123055	156124243	1189	*	1189	1	1	0.0460006413440868	0.117689472884823
chr1	156123969	156124517	549	*	549	1	1	0.0215093409270745	0.117689472884823
chr1	156367683	156368470	788	*	788	1	1	0.030728017008927	0.117689472884823
chr1	156674299	156677396	3098	*	3098	1	1	0.115472196052106	0.131629480408967
chr1	156715555	156722716	7162	*	7162	1	1	0.246979377454103	0.248750959486474
chr1	156862115	156864357	2243	*	2243	1	1	0.0850059028467105	0.118850173161989
chr1	160065857	160068852	2996	*	2996	1	1	0.11189158568246	0.129192058044493
chr1	161135162	161137425	2264	*	2264	1	1	0.0857666228755478	0.118900354446405
chr1	161368090	161370637	2548	*	2548	1	1	0.0959925579230551	0.12089646616816
chr1	162660686	162661375	690	*	690	1	1	0.0269585259715844	0.117689472884823
chr1	165796255	165798757	2503	*	2503	1	1	0.0943799103799117	0.120659979665485
chr1	167904153	167907229	3077	*	3077	1	1	0.114736193589974	0.131018166515753
chr1	168194426	168196679	2254	*	2254	1	1	0.0854044541529846	0.118850173161989
chr1	179560344	179561547	1204	*	1204	1	1	0.0465672434733785	0.117689472884823
chr1	179846038	179847410	1373	*	1373	1	1	0.0529277538538291	0.117689472884823
chr1	182572691	182574068	1378	*	1378	1	1	0.0531152869714995	0.117689472884823
chr1	182970686	182971522	837	*	837	1	1	0.0326072829627915	0.117689472884823
chr1	182991013	182994384	3372	*	3372	1	1	0.125019384945546	0.138671594732815
chr1	184722901	184725108	2208	*	2208	1	1	0.0837366292411248	0.118850173161989
chr1	193073231	193075227	1997	*	1997	1	1	0.076047332795818	0.117689472884823
chr1	200271125	200271904	780	*	780	1	1	0.0304208515952644	0.117689472884823
chr1	200859685	200861653	1969	*	1969	1	1	0.0750221142557359	0.117689472884823
chr1	200869209	200870554	1346	*	1346	1	1	0.0519144330277119	0.117689472884823
chr1	201365410	201367017	1608	*	1608	2	2	0.0018307971066327	0.117689472884823
chr1	201366627	201370009	3383	*	3383	1	1	0.12540050725899	0.138900701079912
chr1	201433328	201439354	6027	*	6027	1	1	0.212356058751459	0.215241576322604
chr1	201500169	201501112	944	*	944	1	1	0.0366983305102936	0.117689472884823
chr1	201978570	201985540	6971	*	6971	1	1	0.241261276431828	0.243197072146441
chr1	202779162	202781114	1953	*	1953	1	1	0.074435764419252	0.117689472884823
chr1	203289666	203291023	1358	*	1358	1	1	0.0523649316227002	0.117689472884823
chr1	203432248	203433742	1495	*	1495	1	1	0.0574929765407592	0.117689472884823
chr1	204057478	204058348	871	*	871	2	1	0.0339091217550145	0.117689472884823
chr1	204194959	204195919	961	*	961	1	1	0.0373467154155431	0.117689472884823
chr1	204475033	204475997	965	*	965	1	1	0.0374992131346448	0.117689472884823
chr1	204476399	204477876	1478	*	1478	1	1	0.0568581609359214	0.117689472884823
chr1	205266584	205271568	4985	*	4985	1	1	0.179169820504796	0.184775793576669
chr1	205446458	205447307	850	*	850	1	1	0.033105251868892	0.117689472884823
chr1	205638273	205639157	885	*	885	1	1	0.0344446636825122	0.117689472884823
chr1	206281153	206282737	1585	*	1585	1	1	0.0608466529306378	0.117689472884823
chr1	206807936	206809898	1963	*	1963	1	1	0.0748022766096662	0.117689472884823
chr1	207493835	207496193	2359	*	2359	2	2	0.00386552649316907	0.117689472884823
chr1	209929231	209930110	880	*	880	1	1	0.0342534327966278	0.117689472884823
chr1	210501522	210503570	2049	*	2049	1	1	0.0779482963064821	0.117689472884823
chr1	210771055	210772283	1229	*	1229	1	1	0.0475108326364198	0.117689472884823
chr1	211431187	211434731	3545	*	3545	1	1	0.13099421234622	0.143038968376224
chr1	212840763	212841656	894	*	894	1	1	0.0347887838590599	0.117689472884823
chr1	215740050	215742035	1986	*	1986	1	1	0.075644703957177	0.117689472884823
chr1	223306916	223308061	1146	*	1146	1	1	0.0443745150506444	0.117689472884823
chr1	224518398	224519093	696	*	696	1	1	0.0271897318444173	0.117689472884823
chr1	224690269	224692112	1844	*	1844	1	1	0.070431352804415	0.117689472884823
